ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2019,2101004,Arari,ARARIPINA - PE,201930530006,BETINHO GOMES,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"250.770,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,2101004,Arari,ARARIPE - CE,201924370017,CHICO LOPES,,,Emenda Individual - Transferências com Finalidade Definida,Desporto e lazer,Desporto comunitário,"400.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,2101004,Arari,ARARIPE - CE,201924370019,CHICO LOPES,,,Emenda Individual - Transferências com Finalidade Definida,Urbanismo,infra-estrutura urbana,"675.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
