Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
ensino fundamental,"0,00","112.108.645,72","36.687.821,40","31.391.087,41",1,2021-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","92.922.734,23","20.562.220,33","20.031.227,09",1,2021-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"266.153.864,99","266.147.501,26","107.951.927,26","98.049.906,22",1,2021-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","123.491.102,57","54.655.908,96","42.400.620,36",2,2021-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","106.547.448,80","33.877.481,22","32.705.543,83",2,2021-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"330.784.675,51","330.498.962,51","188.993.801,32","175.566.575,33",2,2021-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","125.526.909,62","79.478.165,19","66.461.487,48",3,2021-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","110.943.151,23","58.796.264,76","57.856.730,37",3,2021-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"381.456.911,08","380.376.257,49","282.180.626,59","268.224.414,49",3,2021-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"324.103.657,94","324.103.657,94","323.322.346,66","318.748.785,90",4,2021-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
