Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"61.518.610,19","59.882.809,66","59.508.653,24","1.635.800,53","374.156,42",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3534401
06.181 - Policiamento,"60.840.905,62","59.439.889,83","59.066.788,11","1.401.015,79","373.101,72",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3534401
06.182 - Defesa Civil,"677.704,57","442.919,83","441.865,13","234.784,74","1.054,70",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3534401
