categoria,ano_referencia_publicacao,rotulo,arquivo,url,status,observacao
contas_anuais,2008,Parecer Previo - Exercicio 2008 - Processo 2029/026/08 (Favorável),95011.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/95011.pdf,inventariado,Parecer Favorável oficial do TCE-SP. Transito em julgado: 15/12/2010
contas_anuais,2009,Parecer Previo - Exercicio 2009 - Processo 494/026/09 (Favorável),102197.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/102197.pdf,inventariado,Parecer Favorável oficial do TCE-SP. Transito em julgado: 26/01/2011
contas_anuais,2010,Parecer Previo - Exercicio 2010 - Processo 2892/026/10 (Favorável),173951.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/173951.pdf,inventariado,Parecer Favorável oficial do TCE-SP. Transito em julgado: 15/06/2012
contas_anuais,2011,Parecer Previo - Exercicio 2011 - Processo 1364/026/11 (Favorável),211936.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/211936.pdf,inventariado,Parecer Favorável oficial do TCE-SP. Transito em julgado: 26/03/2013
contas_anuais,2012,Parecer Previo - Exercicio 2012 - Processo 1953/026/12 (Desfavorável),565499.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/565499.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 
contas_anuais,2013,Parecer Previo - Exercicio 2013 - Processo 2021/026/13 (Desfavorável),591998.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/591998.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 08/05/2017
contas_anuais,2014,Parecer Previo - Exercicio 2014 - Processo 494/026/14 (Desfavorável),560870.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/560870.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 13/12/2016
contas_anuais,2015,Parecer Previo - Exercicio 2015 - Processo 2586/026/15 (Desfavorável),707564.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/707564.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 02/05/2019
contas_anuais,2016,Parecer Previo - Exercicio 2016 - Processo 4430/989/16 (Desfavorável),700475.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/700475.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 
contas_anuais,2017,Parecer Previo - Exercicio 2017 - Processo 6908/989/16 (Desfavorável),751473.pdf,http://www2.tce.sp.gov.br/arqs_juri/pdf/751473.pdf,inventariado,Parecer Desfavorável oficial do TCE-SP. Transito em julgado: 
