Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"46.665.488,97","46.251.672,84","44.874.345,02","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2016&id_ente=3547809
06.122 - Administração Geral,"3.316.956,27","3.098.528,13","2.504.824,30","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2016&id_ente=3547809
06.182 - Defesa Civil,"904.811,21","778.708,15","656.289,36","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2016&id_ente=3547809
06.999 - Demais Subfunções Segurança Pública,"42.443.721,49","42.374.436,56","41.713.231,36","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2016&id_ente=3547809
