Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"50.191.444,83","49.870.426,65","48.893.728,11","321.018,18","976.698,54",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3529401
06.122 - Administração Geral,"44.076.250,93","44.043.291,33","43.450.018,86","32.959,60","593.272,47",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3529401
06.181 - Policiamento,"5.919.407,50","5.667.804,74","5.295.239,89","251.602,76","372.564,85",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3529401
06.182 - Defesa Civil,"59.307,20","39.915,20","39.915,20","19.392,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3529401
