ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2025,5137,Paulinia,mensal,Janeiro,1,115343600.84,20882830.66,728070.90,262098.86,137216601.27,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Fevereiro,2,122782753.97,8231336.31,845326.27,281658.12,132141074.66,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Março,3,125451375.87,6844935.30,975125.12,6416.84,133277853.13,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Abril,4,135114631.24,5677792.83,1038705.96,369389.85,142200519.89,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Maio,5,125077171.28,5626689.41,824184.25,611400.54,132139445.48,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Junho,6,94808686.79,1943302.01,1061021.46,7641.95,97820652.21,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Julho,7,171662987.86,2570295.23,980219.53,544634.76,175758137.37,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Agosto,8,126666449.65,2454870.11,865910.42,0.00,129987230.18,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Setembro,9,152947936.20,2095070.28,1054215.38,528078.92,156625300.78,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Outubro,10,126037439.85,1577187.58,1050308.87,6605.98,128671542.27,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Novembro,11,116120269.32,1374999.17,966623.87,269033.37,118730925.73,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,mensal,Dezembro,12,182040127.40,2553882.01,1110345.72,501372.26,186205727.40,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
2025,5137,Paulinia,total_anual,Total,99,1594053430.26,61833190.90,11500057.75,3388331.46,1670775010.37,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-19T16:47:26.049845+00:00
