ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2023,5137,Paulinia,mensal,Janeiro,1,106904333.67,17745194.62,607507.74,286132.59,125543168.63,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Fevereiro,2,80323117.99,6181728.96,471074.80,324237.05,87300158.80,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Março,3,87600870.10,5807206.09,478684.22,319895.12,94206655.53,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Abril,4,61715023.93,4427269.91,566309.03,307668.04,67016270.91,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Maio,5,136389112.18,4756832.99,522630.75,342547.05,142011122.97,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Junho,6,84938343.81,1874520.85,592361.31,327732.81,87732958.79,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Julho,7,95126516.09,2204720.53,610998.93,310864.07,98253099.61,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Agosto,8,104265485.10,2472200.28,509693.01,314641.21,107562019.60,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Setembro,9,101517395.83,1652469.83,542580.95,343521.10,104055967.71,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Outubro,10,116925356.79,1571055.29,783331.71,381001.53,119660745.32,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Novembro,11,91080220.74,1487409.65,596211.55,397042.68,93560884.61,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,mensal,Dezembro,12,107323285.63,1786844.82,632518.00,408359.07,110151007.51,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
2023,5137,Paulinia,total_anual,Total,99,1174109061.86,51967453.82,6913902.00,4063642.32,1237054060.00,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:21.359221+00:00
