ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2024,5137,Paulinia,mensal,Janeiro,1,128907054.59,19292365.11,846526.37,340702.76,149386648.84,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Fevereiro,2,100886833.91,7277302.39,676948.04,346268.48,109187352.82,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Março,3,113040499.04,5888295.05,727838.09,307494.11,119964126.29,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Abril,4,137309953.30,5348805.67,995716.37,290156.94,143944632.28,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Maio,5,107999671.02,5112165.43,742431.78,347629.14,114201897.37,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Junho,6,122255510.24,1776116.03,940161.95,9573.25,124981361.47,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Julho,7,144290420.05,2434506.33,1055417.89,379597.75,148159942.02,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Agosto,8,114196987.60,2250193.54,1139003.29,366758.34,117952942.77,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Setembro,9,89553863.34,1747474.82,952626.42,731734.01,92985698.58,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Outubro,10,174144181.64,1627021.12,1333062.51,385699.72,177489964.99,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Novembro,11,125684766.15,1463227.20,956526.71,0.00,128104520.06,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,mensal,Dezembro,12,156410723.72,1899074.31,1313534.44,700820.27,160324152.73,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
2024,5137,Paulinia,total_anual,Total,99,1514680464.60,56116547.00,11679793.86,4206434.77,1586683240.22,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-06-01T11:26:25.160400+00:00
