Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"3.846.724,65","2.665.094,38","2.654.123,29","1.181.630,27","10.971,09",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3548500
06.181 - Policiamento,"3.803.559,35","2.649.297,08","2.638.341,29","1.154.262,27","10.955,79",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3548500
06.182 - Defesa Civil,"43.165,30","15.797,30","15.782,00","27.368,00","15,30",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3548500
