Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"34.020.948,57","32.525.919,88","30.824.078,82","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548500
06.181 - Policiamento,"34.020.948,57","32.525.919,88","30.824.078,82","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548500
