ano,mes,orgao,ds_alinea,ds_subalinea,ds_fonte_recurso,ds_cd_aplicacao_fixo,vl_arrecadacao
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"70.559,70"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,281 - RECURSOS DO SALÁRIO EDUCAÇÃO - PRÉ-ESCOLA,"769.599,03"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"1.009,58"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180541 - Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar - PNATE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,288 - RECURSOS DO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ESCOLAR - PNATE,"14.408,38"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180200 - Transferência da Compensação Financeira pela Exploração de Recursos Naturais,17180231 - Cota-parte Royalties - Compensação Financeira pela Produção de Petróleo - Lei nº 7.990/89 - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,"111.446,47"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17580100 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,17580111 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,"26.458.969,05"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,110 - GERAL,"3.045.284,30"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"261.159,07"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,282 - RECURSOS DO SALÁRIO EDUCAÇÃO - ENSINO FUNDAMENTAL,"803.059,86"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"-807,67"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180521 - Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola - PDDE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,293 - RECURSOS DO PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE - ENSINO FUNDAMENTAL,"2.440,00"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180391 - Transferência de Recursos do SUS - Outros Programas Financiados por Transferências Fundo a Fundo - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,312 - RECURSOS PARA COMBATE AO CORONAVIRUS - Convênios/Entidades/Fundos,"1.342.372,00"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,110 - GERAL,"2.423,01"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,283 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - CRECHE,"417.065,05"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,310 - SAÚDE - GERAL,"761.321,09"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180591 - Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação - FNDE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,294 - OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE - CRECHE,"20.051,45"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180311 - Transferência de Recursos do SUS - Atenção Básica - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,350 - BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE,"12.052.198,52"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"1.268.868,46"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,284 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - PRÉ-ESCOLA,"180.990,50"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,310 - SAÚDE - GERAL,"605,77"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"94.901,90"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,280 - RECURSOS DO SALÁRIO EDUCAÇÃO - CRECHE,"1.773.423,87"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"-1.015.094,72"
2020,03,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,285 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - ENSINO FUNDAMENTAL,"188.859,65"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,284 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - PRÉ-ESCOLA,"321.790,98"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,310 - SAÚDE - GERAL,"746.263,22"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"144.369,48"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,280 - RECURSOS DO SALÁRIO EDUCAÇÃO - CRECHE,"1.818.091,88"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,285 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - ENSINO FUNDAMENTAL,"335.781,88"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180200 - Transferência da Compensação Financeira pela Exploração de Recursos Naturais,17180221 - Cota-parte da Compensação Financeira de Recursos Minerais - CFEM - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,"11.432,36"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"33.136,55"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,281 - RECURSOS DO SALÁRIO EDUCAÇÃO - PRÉ-ESCOLA,"788.983,27"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,110 - GERAL,"2.985.052,76"
