ano,mes,orgao,ds_alinea,ds_subalinea,ds_fonte_recurso,ds_cd_aplicacao_fixo,vl_arrecadacao
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180541 - Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar - PNATE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,288 - RECURSOS DO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ESCOLAR - PNATE,"28.816,76"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180200 - Transferência da Compensação Financeira pela Exploração de Recursos Naturais,17180231 - Cota-parte Royalties - Compensação Financeira pela Produção de Petróleo - Lei nº 7.990/89 - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,"88.815,44"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17189900 - Outras Transferências da União,17189911 - Outras Transferências da União - Principal,01 - TESOURO,110 - GERAL,"369.372,31"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,282 - RECURSOS DO SALÁRIO EDUCAÇÃO - ENSINO FUNDAMENTAL,"823.286,88"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"1.243.771,97"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181091 - Outras Transferências de Convênios da União - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,"49.170,00"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180391 - Transferência de Recursos do SUS - Outros Programas Financiados por Transferências Fundo a Fundo - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,312 - RECURSOS PARA COMBATE AO CORONAVIRUS - Convênios/Entidades/Fundos,"9.137.319,73"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17580100 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,17580111 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,"16.307.907,53"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,283 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - CRECHE,"741.518,34"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"-995.017,53"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"40.879,68"
2020,04,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180311 - Transferência de Recursos do SUS - Atenção Básica - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,350 - BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE,"15.052.183,31"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,310 - SAÚDE - GERAL,"779.676,13"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"281.100,00"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180311 - Transferência de Recursos do SUS - Atenção Básica - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,350 - BLOCO DE CUSTEIO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE,"12.421.532,45"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"1.299.460,14"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17181200 - Transferências de Recursos do Fundo Nacional de Assistência Social - FNAS,17181211 - Transferências de Recursos do Fundo Nacional de Assistência Social - FNAS - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,312 - RECURSOS PARA COMBATE AO CORONAVIRUS - Convênios/Entidades/Fundos,"307.395,00"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,283 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - CRECHE,"3.202,26"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,310 - SAÚDE - GERAL,"462,09"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"72.189,55"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180300 - Transferência de Recursos do Sistema Único de Saúde - SUS - Bloco Custeio das Ações e Serviços Públicos de Saúde,17180391 - Transferência de Recursos do SUS - Outros Programas Financiados por Transferências Fundo a Fundo - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,900 - TRANSFERÊNCIAS DA UNIÃO DECORRENTES DE EMENDAS PARLAMENTARES DE BANCADAS - Convênios/Entidades/Fundo,"1.241.000,00"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180121 - Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"-1.039.568,07"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17181200 - Transferências de Recursos do Fundo Nacional de Assistência Social - FNAS,17181211 - Transferências de Recursos do Fundo Nacional de Assistência Social - FNAS - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,312 - RECURSOS PARA COMBATE AO CORONAVIRUS - Convênios/Entidades/Fundos,"1.538.400,00"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180531 - Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,284 - RECURSOS DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE - PRÉ-ESCOLA,"1.389,66"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180200 - Transferência da Compensação Financeira pela Exploração de Recursos Naturais,17180221 - Cota-parte da Compensação Financeira de Recursos Minerais - CFEM - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,"191.138,21"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17181000 - Transferências de Convênios da União e de Suas Entidades,17181031 - Transferências de Convênios da União Destinadas a Programas de Assistência Social - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,"530.100,00"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180500 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação - FNDE,17180511 - Transferências do Salário-Educação - Principal,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,280 - RECURSOS DO SALÁRIO EDUCAÇÃO - CRECHE,"1.642.559,71"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17580100 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,17580111 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB - Principal,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,"16.303.162,17"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17180100 - Participação na Receita da União,17180151 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,01 - TESOURO,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,"770,14"
2020,05,PREFEITURA MUNICIPAL DE SOROCABA,17189900 - Outras Transferências da União,17189911 - Outras Transferências da União - Principal,01 - TESOURO,110 - GERAL,"336.958,78"
