ano,nr_convenio,data_assinatura,situacao,concedente,objeto,valor_repasse,valor_total,valor_desembolsado,vigencia_inicio,vigencia_fim
2022,939921,31/12/2022,Em execução,,,3947796,"3987672,73",4737.36,31/12/2022,31/12/2026
2022,939968,31/12/2022,Em execução,,,960019,"969716,16",758675.57,31/12/2022,31/12/2026
2022,940002,31/12/2022,Em execução,,,2582854,"2608943,43",457775.86,31/12/2022,31/12/2026
2023,940878,16/06/2023,Em execução,,,286500,"361732,83",0.00,16/06/2023,16/06/2026
2023,941307,30/11/2023,Prestação de Contas enviada para Análise,,,193367,193367,193367.00,30/11/2023,21/08/2025
2023,945143,30/12/2023,Em execução,,,960019,"996734,41",0.00,30/12/2023,30/12/2026
2023,946446,14/11/2023,Prestação de Contas enviada para Análise,,,299994,299994,254302.00,14/11/2023,25/12/2025
2023,946566,14/11/2023,Em execução,,,1300000,1475000,1300000.00,14/11/2023,09/04/2027
2023,949447,30/12/2023,Em execução,,,8617337,"8737695,29",1723467.40,30/12/2023,30/12/2027
2023,949470,22/12/2023,Em execução,,,287500,299500,287500.00,22/12/2023,30/06/2026
2023,949529,21/12/2023,Prestação de Contas enviada para Análise,,,499199,499199,401266.40,21/12/2023,26/12/2025
2023,949531,13/12/2023,Em execução,,,499726,499726,358000.00,13/12/2023,16/10/2026
2023,950101,11/12/2023,Prestação de Contas enviada para Análise,,,190432,190432,190000.00,11/12/2023,26/12/2025
2023,950511,06/12/2023,Em execução,,,9824374,9824374,9394485.96,06/12/2023,05/09/2026
2023,955180,31/12/2023,Em execução,,,690195,690195,0.00,31/12/2023,31/12/2026
2024,955702,22/05/2024,Prestação de Contas enviada para Análise,,,382000,382000,382000.00,22/05/2024,22/06/2025
2024,959120,17/06/2024,Em execução,,,1337000,1358000,0.00,17/06/2024,17/06/2028
2024,959123,30/12/2024,Prestação de Contas enviada para Análise,,,250000,250000,250000.00,30/12/2024,20/12/2025
2024,959573,17/06/2024,Em execução,,,382000,"400946,66",0.00,17/06/2024,17/06/2028
2024,960230,27/12/2024,Em execução,,,135000,"138364,17",135000.00,27/12/2024,30/07/2026
2024,960512,15/07/2024,Em execução,,,500000,500000,500000.00,15/07/2024,27/10/2026
2024,966129,27/12/2024,Prestação de Contas em Análise,,,200000,200000,200000.00,30/12/2024,17/02/2026
2024,967770,17/12/2024,Prestação de Contas enviada para Análise,,,841585,845000,841585.00,17/12/2024,23/12/2026
2024,968511,21/10/2024,Em execução,,,1953000,1953000,0.00,21/10/2024,30/09/2028
2024,968721,25/10/2024,Em execução,,,1000000,1000000,0.00,25/10/2024,30/09/2028
2024,969969,27/12/2024,Em execução,,,250000,250000,250000.00,27/12/2024,26/12/2026
2024,971162,27/12/2024,Em execução,,,650000,650000,622768.13,27/12/2024,09/01/2027
2024,971203,30/12/2024,Em execução,,,3379160,3379337,2376151.34,30/12/2024,20/03/2027
2024,971481,31/12/2024,Em execução,,,861600,861600,0.00,31/12/2024,31/12/2028
2024,972495,31/12/2024,Aguardando Prestação de Contas,,,600000,600000,600000.00,31/12/2024,30/04/2026
