nr_convenio,ano_convenio,situacao,data_assinatura,vigencia_inicio,vigencia_fim,nr_processo,concedente,objeto,valor_global,valor_repasse,valor_desembolsado,valor_empenhado_conv,tem_emenda,qtd_emendas,parlamentares,valor_emenda_total,qtd_empenhos,valor_empenho_total,anos_empenho
813026,2014,Prestação de Contas Concluída,18/12/2014,18/12/2014,18/12/2017,0528622014,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,200000,200000,200000,200000,sim,1,JEFFERSON CAMPOS,200000.00,1,200000.00,2014
814871,2014,Prestação de Contas Concluída,26/12/2014,26/12/2014,09/11/2016,25000231620201423,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,200000,200000,200000,200000,sim,1,MARA GABRILLI,200000.00,1,200000.00,2014
821136,2015,Prestação de Contas Concluída,02/12/2015,02/12/2015,29/08/2019,25000172593201521,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,300000,300000,300000,300000,sim,1,JEFFERSON CAMPOS,300000.00,1,300000.00,2015
825089,2015,Prestação de Contas Concluída,23/12/2015,23/12/2015,23/12/2018,0358572015,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,"Construir uma unidade de Bombeiros, no Município de Sorocaba","1076040,13",1000000,1000000,1000000,sim,1,RELATOR GERAL,1000000.00,1,1000000.00,2015
827721,2016,Prestação de Contas Aprovada,28/12/2016,28/12/2016,03/09/2021,71001004190201648,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA - AQUISIÇÃO DE BENS,"105179,63",100000,100000,100000,sim,1,MAJOR OLIMPIO,100000.00,1,100000.00,2016
831651,2016,Prestação de Contas Concluída,18/05/2016,18/05/2016,15/12/2022,0120502016,MINISTERIO DO ESPORTE,Implantação e Modernização de Infraestrutura Esportiva,"344696,97",341250,341250,341250,sim,1,NILTO TATTO,341250.00,1,341250.00,2016
831658,2016,Convênio Anulado,18/05/2016,18/05/2016,18/05/2018,0123732016,MINISTERIO DO ESPORTE,Construção de pista de atletismo no município de Sorocaba,"492424,24",487500,,0,sim,1,VITOR LIPPI,487500.00,2,0.00,2016; 2018
833138,2016,Prestação de Contas Concluída,30/06/2016,30/06/2016,31/12/2018,25000074320201601,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,630000,630000,630000,630000,sim,2,NILTO TATTO; VITOR LIPPI,630000.00,2,630000.00,2016
835730,2016,Prestação de Contas Concluída,06/07/2016,06/07/2016,31/12/2018,0137222016,MINISTERIO DO ESPORTE,Aquisição de Equipamentos Permanentes.,100000,97500,97500,97500,sim,1,VITOR LIPPI,97500.00,1,97500.00,2016
836738,2016,Prestação de Contas Concluída,15/12/2016,15/12/2016,15/12/2017,00041000393201641,MINISTÉRIO DA IGUALDADE RACIAL,"Promover a formação continuada de 120 profissionais da área da Educação, da Saúde, da Gestão Pública e integrantes dos movimentos sociais do Município de Sorocaba e municípios vizinhos, no campo das r","186733,35","184833,35","184833,35","184833,35",nao,0,,,2,369666.70,2016
837040,2016,Prestação de Contas Concluída,16/11/2016,16/11/2016,16/05/2018,25000162399201618,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,880000,880000,880000,880000,sim,2,EDUARDO BOLSONARO; VITOR LIPPI,880000.00,2,880000.00,2016
837093,2016,Prestação de Contas Concluída,10/11/2016,10/11/2016,31/03/2021,25000144932201660,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,590294,590294,590294,590294,sim,2,JEFFERSON CAMPOS; VITOR LIPPI,590294.00,2,590294.00,2016
837521,2016,Prestação de Contas enviada para Análise,28/12/2016,28/12/2016,31/12/2024,01415002624201628,INSTITUTO BRASILEIRO DE MUSEUS,"Modernização do Museu Histórico Sorocabano: modernização dos espaços (mobiliário expositivo e sinalização), atendimento ao público (nova recepção, equipamentos interativos e recursos de acessibilidade","588355,9","581227,9","581227,9","74,1",sim,1,VITOR LIPPI,581227.90,1,74.10,2016
837929,2016,Convênio Anulado,21/12/2016,21/12/2016,21/12/2018,0138802016,MINISTERIO DAS CIDADES,Pavimentação em ruas da área urbana do município de Sorocaba.,"997575,76",987600,,0,sim,1,VITOR LIPPI,987600.00,2,0.00,2016; 2018
839296,2016,Convênio Anulado,13/12/2016,13/12/2016,13/12/2018,0335262016,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,249600,249600,,0,sim,1,ALEXANDRE LEITE,249600.00,2,0.00,2016; 2018
841368,2016,Prestação de Contas Concluída,29/12/2016,29/12/2016,15/12/2020,0376792016,MINISTERIO DAS CIDADES,Recapeamento asfáltico de ruas no município de Sorocaba/SP.,"351376,94",275520,275520,275520,sim,1,RODRIGO GARCIA,275520.00,1,275520.00,2016
845431,2017,Prestação de Contas Concluída,14/12/2017,14/12/2017,14/12/2022,0231242017,MINISTERIO DAS CIDADES,Recapeamento asfáltico de ruas no município de Sorocaba/SP,"263662,13",245850,245850,245850,sim,1,KEIKO OTA,245850.00,1,245850.00,2017
849399,2017,Prestação de Contas Concluída,28/12/2017,28/12/2017,28/12/2022,0705102017,MINISTERIO DAS CIDADES,Recapeamento asfáltico de ruas no município de Sorocaba/SP,"761490,92",690900,690900,690900,nao,0,,,1,690900.00,2017
856677,2017,Prestação de Contas em Complementação,20/12/2017,20/12/2017,28/10/2023,25000484786201793,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,1200000,1200000,"697390,86",0,sim,2,JEFFERSON CAMPOS; VITOR LIPPI,1200000.00,2,0.00,2017
857149,2017,Prestação de Contas Concluída,28/12/2017,28/12/2017,28/12/2023,0250002017,MINISTERIO DO ESPORTE,Construção de quadra poliesportiva na Zona Norte,"479999,58",390000,390000,390000,sim,1,RENATA ABREU,390000.00,1,390000.00,2017
859687,2017,Prestação de Contas enviada para Análise,30/12/2017,30/12/2017,30/12/2022,23034045779201757,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"O presente Termo de Fomento tem por objeto a aquisicao de equipamentos, conforme detalhado no plano de trabalho.",100000,100000,100000,100000,sim,1,MAJOR OLIMPIO,100000.00,4,100000.00,2017
865770,2018,Prestação de Contas Concluída,17/05/2018,17/05/2018,17/05/2023,357102018,MINISTERIO DAS CIDADES,Projetos de melhorias de acessibilidades em equipamentos públicos voltados às pessoas com deficiência ou mobilidade reduzida.,"405453,21","401398,68","401398,68","401398,68",sim,1,JEFFERSON CAMPOS,401398.68,3,401398.68,2018
870068,2018,Prestação de Contas Concluída,23/10/2018,23/10/2018,31/03/2021,25000082856201853,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,2099808,2099808,"2002417,74",1300000,sim,4,HERCULANO PASSOS; JEFFERSON CAMPOS; ORLANDO SILVA; VITOR LIPPI,2099808.00,4,1300000.00,2018
873908,2018,Prestação de Contas Concluída,17/07/2018,17/07/2018,17/07/2023,364052018,MINISTERIO DO ESPORTE,Ampliação e reforma de Centro Esportivo no Município de Sorocaba.,321346,"318095,24",318095,0,sim,1,RENATA ABREU,318095.24,1,0.00,2018
877955,2018,Em execução,28/11/2018,28/11/2018,27/05/2027,554882018,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,"1043372,62",750000,750000,750000,sim,1,VITOR LIPPI,750000.00,1,750000.00,2018
886365,2019,Em execução,30/12/2019,30/12/2019,30/06/2026,0465572019,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,"530802,7",530364,530364,530364,sim,1,VITOR LIPPI,530364.00,1,530364.00,2019
886391,2019,Prestação de Contas Concluída,12/12/2019,12/12/2019,31/03/2021,25000168574201923,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,900000,900000,832660,400000,sim,2,NILTO TATTO; VITOR LIPPI,900000.00,2,400000.00,2019
887193,2019,Prestação de Contas Concluída,11/12/2019,11/12/2019,16/12/2021,25000183790201907,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,169180,169180,"52790,5",0,nao,0,,,1,0.00,2019
888242,2019,Convênio Anulado,26/12/2019,26/12/2019,01/02/2022,19687103638201976,MINISTERIO DA ECONOMIA,"O presente Convênio tem por objeto a realização de atividade de formação de governança e implementação de Arranjo Produtivo Local no Município de Sorocaba, conforme detalhado no Plano de Trabalho.",121500,120000,,120000,sim,1,JEFFERSON CAMPOS,120000.00,4,120000.00,2019
888728,2019,Prestação de Contas Concluída,11/12/2019,11/12/2019,24/04/2021,25000187201201951,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,403000,400000,"100215,38",0,sim,1,VITOR LIPPI,400000.00,1,0.00,2019
