nr_convenio,ano_convenio,situacao,data_assinatura,vigencia_inicio,vigencia_fim,nr_processo,concedente,objeto,valor_global,valor_repasse,valor_desembolsado,valor_empenhado_conv,tem_emenda,qtd_emendas,parlamentares,valor_emenda_total,qtd_empenhos,valor_empenho_total,anos_empenho
748245,2010,Prestação de Contas em Complementação,20/08/2010,20/08/2010,20/02/2011,00187.000661/2010-84,FUNDO NACIONAL ANTIDROGAS,"O presente projeto  surge  da necessidade de divulgar e multiplicar o conteúdo do seminário a fim de ampliar a formação de profissionais que atuam neste setor,  alem de lideres comunitários.Durante os","34988,16","34988,16","34988,16","34988,16",nao,0,,,1,34988.16,2010
748876,2010,Prestação de Contas em Análise,01/09/2010,01/09/2010,28/01/2014,00187.001400/2010-81,FUNDO NACIONAL ANTIDROGAS,"Objetivo GeralQualificar o atendimento dos programas de atenção a jovens mães usuárias de drogas e outras vulnerabilidades, desenvolvidos por organizações da sociedade civil e do poder público a parti","1814682,32","1814682,32","1814682,2","1814682,2",nao,0,,,3,1814682.20,2010; 2011
750575,2010,Prestação de Contas Concluída,09/12/2010,09/12/2010,09/10/2012,00004.000432/2010-61,FUNDO NACIONAL PARA A CRIANCA E O ADOLESCENT,"Disseminação e sistematização do método de geração de renda para adolescentes em situação de vulnerabilidade e exploração ou abuso sexual, divulgando essa nova metodologia de escola de negócios sociai",470000,470000,470000,470000,nao,0,,,1,470000.00,2010
754391,2010,Prestação de Contas Concluída,31/12/2010,31/12/2010,07/05/2014,25100043547201082,FUNDACAO NACIONAL DE SAUDE,Aquisição de caminhões e outros veículos  para coleta seletiva.,"194867,03",193670,193670,193670,nao,0,,,1,198781.80,2010
756708,2011,Prestação de Contas Concluída,12/12/2011,12/12/2011,26/06/2013,25000.173695/2011-30,MINISTERIO DA SAUDE,Aquisição de Equipamento e Material Permanente para Unidade de Atenção Especializada em Saúde.,100000,100000,100000,100000,sim,1,VANDERLEI MACRIS,100000.00,1,100000.00,2011
757836,2011,Prestação de Contas Concluída,26/12/2011,26/12/2011,25/06/2014,25000.184535/2011-16,MINISTERIO DA SAUDE,Aquisição de equipamentos,"185599,99","185599,99","185599,99","185599,99",sim,1,JEFFERSON CAMPOS,185599.99,2,185599.99,2011; 2012
757930,2011,Prestação de Contas Concluída,16/12/2011,16/12/2011,25/06/2014,25000161364201157,MINISTERIO DA SAUDE,Aquisição de Equipamento e Material Permanente para Unidade de Atenção Especializada em Saúde.,72380,72380,72380,72380,sim,1,NELSON MARQUEZELLI,72380.00,2,72380.00,2011; 2012
759155,2011,Convênio Anulado,29/12/2011,29/12/2011,29/12/2013,004202/2011,MINISTERIO DO ESPORTE,Implantação do Complexo Esportivo.,411250,341250,,0,nao,0,,,2,0.00,2011; 2013
759519,2011,Prestação de Contas Concluída,05/12/2011,05/12/2011,07/12/2014,25000199352201103,MINISTERIO DA SAUDE,Aquisição de Equipamento e Material Permanente para Unidade de Atenção Especializada em Saúde.,1177394,1177394,1177394,1177394,sim,2,RENATO FAUVEL AMARY,1177394.00,3,1177394.00,2011; 2013
761508,2011,Prestação de Contas Aprovada,29/12/2011,29/12/2011,29/12/2014,045753/2011,MINISTERIO DAS CIDADES,Pavimentação das ruas do Município de Sorocaba.,"304110,59",147650,147650,147650,sim,1,VICENTINHO,147650.00,2,147650.00,2011; 2014
761793,2011,Prestação de Contas Concluída,22/12/2011,22/12/2011,31/12/2021,25000215284201129,MINISTERIO DA SAUDE,Aquisição de equipamentos.,999000,999000,999000,999000,sim,1,RENATO FAUVEL AMARY,999000.00,4,999000.00,2011; 2018
761796,2011,Prestação de Contas Concluída,20/12/2011,20/12/2011,21/12/2013,25000.215291/2011-21,MINISTERIO DA SAUDE,Aquisição de equipamentos e material permanente para a Santa casa de Sorocaba.,300000,300000,300000,300000,sim,1,MICHEL MIGUEL ELIAS TEMER LULIA,300000.00,1,300000.00,2011
762631,2011,Prestação de Contas Aprovada,30/12/2011,30/12/2011,30/06/2017,021380/2011,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE.,300000,300000,300000,300000,sim,1,JEFFERSON CAMPOS,300000.00,1,300000.00,2011
770832,2012,Prestação de Contas Aprovada,30/11/2012,30/11/2012,04/01/2017,47975.000781/2011-40,MINISTERIO DO TRABALHO E EMPREGO,Fortalecimento da Rede Cata-Vida com qualificação e inclusão de novos catadores em empreendimentos econômicos solidários em Rede.,"1101793,56",987700,987700,987700,nao,0,,,3,987700.00,2012; 2013; 2014
773509,2012,Prestação de Contas Concluída,31/12/2012,31/12/2012,15/12/2019,015383/2012,MINISTERIO DO MEIO AMBIENTE,Plano de Coleta Seletiva para o Munic�pio de Sorocaba.,385000,350000,"157181,82",350000,nao,0,,,1,350000.00,2012
774252,2012,Prestação de Contas Concluída,20/12/2012,20/12/2012,22/03/2014,25000.176118/2012-81,MINISTERIO DA SAUDE,Aquisição de equipamentos,600000,600000,600000,600000,sim,2,ALOYSIO NUNES FERREIRA; VANDERLEI MACRIS,600000.00,2,600000.00,2012
777397,2012,Prestação de Contas Concluída,31/12/2012,31/12/2012,30/06/2024,020724/2012,MINISTERIO DO TURISMO,"Restauração e Manutenção do Museu Histórico Sorocabano, Museu Estrada de Ferro Sorocabana, Casarão de Brigadeiro Tobias eCasa de Atendimento ao Turista.","1238542,6","749989,98","749989,98","749989,98",sim,1,PAULO FREIRE COSTA,749989.98,2,749989.98,2012; 2013
780666,2012,Prestação de Contas Concluída,31/12/2012,31/12/2012,30/06/2020,039179/2012,MINISTERIO DO TURISMO,Reforma do Palacete Scarpa.,"541666,67",487500,390000,487500,sim,1,JEFFERSON CAMPOS,487500.00,1,487500.00,2012
784651,2013,Prestação de Contas Concluída,31/12/2013,31/12/2013,18/12/2017,71001003735201356,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL ESPECIAL- Aquisição de Material de Consumo.,"249469,14",200000,200000,200000,sim,1,PAULO FREIRE COSTA,200000.00,1,200000.00,2013
785121,2013,Prestação de Contas Concluída,27/09/2013,27/09/2013,31/12/2015,23038.001895/2013-09,FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR,"A presente proposta visa ao fortalecimento da Pós-Graduação Stricto Sensu na Universidade de Sorocaba, focando, neste momento, nos Programasde Comunicação e Cultura e de Ciências Farmacêuticas. O fort",64524,64524,64524,64524,nao,0,,,1,64524.00,2013
786793,2013,Prestação de Contas Concluída,10/10/2013,10/10/2013,15/10/2022,055724/2013,MINISTERIO DO ESPORTE,Construção de Praça da Juventude no Município de Sorocaba/SP,"2210608,38",2000000,2000000,2000000,nao,0,,,1,2000000.00,2013
787444,2013,Prestação de Contas em Complementação,02/12/2013,02/12/2013,20/07/2016,00036000890201375,MINISTÉRIO DAS MULHERES,"Capacitação de mulheres para atuação como Promotoras Legais Populares em 04 cidades da Região de Sorocaba, estado de São Paulo para enfrentamento à violência contra as mulheres.",108750,100000,100000,100000,nao,0,,,1,100000.00,2013
789412,2013,Prestação de Contas Concluída,18/12/2013,18/12/2013,15/07/2018,0684272013,MINISTERIO DAS CIDADES,Revitalização de Praças do Município,318924,295300,295300,295300,sim,1,PENNA,295300.00,1,295300.00,2013
797761,2013,Convênio Anulado,31/12/2013,31/12/2013,31/12/2018,25100030622201398,FUNDACAO NACIONAL DE SAUDE,Aquisição de Equipamentos para as unidades de recuperação de recicláveis.,805075,805075,,0,nao,0,,,6,0.00,2013; 2014; 2015; 2019
