ano,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url
2022,Sorocaba,mensal,Setembro,9,44137868.99,7075126.11,304110.81,258905.22,51776011.12,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2022,Sorocaba,mensal,Outubro,10,47060592.23,6578562.57,326291.34,236584.93,54202031.07,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2022,Sorocaba,mensal,Novembro,11,49721083.96,5997875.41,226920.44,219230.34,56165110.15,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2022,Sorocaba,mensal,Dezembro,12,49027843.47,7976598.24,293132.33,209121.57,57506695.61,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2022,Sorocaba,total_anual,Total,99,592703052.23,202551618.81,3569180.75,2716976.00,801540827.79,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Janeiro,1,51778687.29,89281334.55,294859.49,135963.34,141490844.67,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Fevereiro,2,38167616.65,33787993.42,223843.43,154069.66,72333523.16,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Março,3,41625829.67,27338369.89,227459.25,152006.48,69343665.28,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Abril,4,29325497.24,22392175.98,269096.45,146196.46,52132966.13,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Maio,5,64808830.62,21787711.61,248341.58,162770.13,87007653.94,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Junho,6,40360661.12,7668913.29,281475.87,155730.76,48466781.04,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Julho,7,45201835.91,7781567.68,290332.02,147715.14,53421450.74,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Agosto,8,49544454.50,8427340.46,242193.88,149509.95,58363498.79,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Setembro,9,48238628.48,7332380.84,257821.44,163232.98,55992063.73,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Outubro,10,55560121.49,7572918.69,372220.42,181042.78,63686303.38,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Novembro,11,43279133.53,6392268.17,283305.41,188665.14,50143372.26,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,mensal,Dezembro,12,50997447.88,9355434.05,300557.36,194042.42,60847481.71,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2023,Sorocaba,total_anual,Total,99,558888744.37,249118408.63,3291506.59,1930945.24,813229604.83,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Janeiro,1,57379205.52,90538319.39,378013.36,150150.80,148445689.07,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
