ano,mes,orgao,ds_fonte_recurso,ds_cd_aplicacao_fixo,ds_alinea,ds_subalinea,vl_arrecadacao
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,11220100 - Taxas pela Prestação de Serviços em Geral,11220103 - Taxas pela Prestação de Serviços em Geral - Dívida Ativa,"3.432,15"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16110100 - Serviços Administrativos e Comerciais Gerais,16110101 - Serviços Administrativos e Comerciais Gerais - Principal,"-329.021,57"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210100 - Remuneração de Depósitos Bancários,13210101 - Remuneração de Depósitos Bancários - Principal,"118,60"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19999900 - Outras Receitas,19999921 - Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal,"422.658,95"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16110100 - Serviços Administrativos e Comerciais Gerais,16110103 - Serviços Administrativos e Comerciais Gerais - Dívida Ativa,"4.554.665,68"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,100 - GERAL TOTAL,13210100 - Remuneração de Depósitos Bancários,13210101 - Remuneração de Depósitos Bancários - Principal,"71,15"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,19999900 - Outras Receitas,19999923 - Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Dívida Ativa,"309.553,66"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16999900 - Outros Serviços,16999901 - Outros Serviços - Principal,"231.162,79"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,13210100 - Remuneração de Depósitos Bancários,13210101 - Remuneração de Depósitos Bancários - Principal,"280.577,32"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,07 - OPERAÇÕES DE CRÉDITO,100 - GERAL TOTAL,21125300 - Operações de Crédito Internas para Programas de Meio Ambiente,21125301 - Operações de Crédito Internas para Programas de Meio Ambiente - Principal,"2.183.700,21"
2022,01,SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SOROCABA,04 - RECURSOS PRÓPRIOS DA ADMINISTRAÇÃO INDIRETA,110 - GERAL,16999900 - Outros Serviços,16999903 - Outros Serviços - Dívida Ativa,"703.897,43"
