ano,contribuicoes_segurados,contribuicoes_patronal,total_receitas_rpps,aposentadorias,total_despesas_rpps,resultado_rpps,fonte_url
2020,39619633.20,78639439.71,176695512.96,7472566.59,9013882.35,167681630.61,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2020&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
2021,37806116.94,81142986.35,166806787.94,10357293.20,12288034.91,154518753.03,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2021&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
2022,62348426.96,99869790.47,262853899.69,15607455.53,18565756.16,244288143.53,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2022&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
2023,90381739.51,122545595.15,302502725.07,156752182.13,178714782.68,123787942.39,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2023&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
2024,145699161.89,170870195.52,410921398.32,421478046.16,472304332.80,-61382934.48,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2024&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
2025,154557953.64,199437060.83,550415773.02,481402588.96,550985354.57,-569581.55,https://apidatalake.tesouro.gov.br/ords/siconfi/tt/rreo?an_exercicio=2025&nr_periodo=6&co_tipo_demonstrativo=RREO&id_ente=3552205&no_anexo=RREO-Anexo%2004
