ano,mes,col1,col2,col3,col4,total_mensal
2020,1,573.05,1907.44,6374.12,4493.67,13348.28
2020,2,395.74,,12259.72,4493.67,17149.13
2020,3,102.03,4405.37,5943.14,4493.67,14944.21
2020,4,,3415.4,6478.61,4493.67,14387.68
2020,5,249.95,8929.3,3694.65,4493.67,17367.57
2020,6,17.9,3726.8,3895.29,4493.67,12133.66
2020,7,53.97,2529.07,4418.71,4763.67,11765.42
2020,8,171.72,4987.78,5261.5,4763.67,15184.67
2020,9,,1688.24,5517.62,4493.67,11699.53
2020,10,111.93,5073.52,4850.67,4493.67,14529.79
2020,11,525.52,4603.37,4951.1,4493.67,14573.66
2020,12,197.25,399.05,4465.59,4378.67,9440.56
2021,1,331.97,9536.4,4622.65,4378.67,18869.69
2021,2,243.02,821.44,5612.37,4378.67,11055.5
2021,3,147.22,8603.85,5569.64,4378.67,18699.38
2021,4,130.15,4067.91,8237.09,4378.67,16813.82
2021,5,46.65,60.0,5547.89,4378.67,10033.21
2021,6,,344.21,6316.93,8852.95,15514.09
2021,7,,3258.54,6927.4,8852.95,19038.89
2021,8,134.18,5929.03,6194.96,8852.95,21111.12
2021,9,340.16,3768.0,6319.94,8614.28,19042.38
2021,10,313.31,3108.6,8131.25,8614.28,20167.44
2021,11,332.53,1219.0,6094.71,8614.28,16260.52
2021,12,256.33,3687.2,6649.56,8614.28,19207.37
2022,1,243.55,28.0,6518.52,8614.28,15404.35
2022,2,127.57,531.0,5012.08,8614.28,14284.93
2022,3,194.85,120.0,8169.63,7744.28,16228.76
2022,4,245.1,8359.75,7075.4,8614.28,24294.53
2022,5,246.65,14.0,4923.32,7868.57,13052.54
2022,6,315.73,12254.0,5013.4,9025.16,26608.29
2022,7,383.56,244.0,4126.19,8254.1,13007.85
2022,8,306.5,24866.93,2376.39,8254.1,35803.92
2022,9,162.25,233.0,8.0,55.76,8470.11
2022,10,624.87,3587.0,2.0,73.88,11704.85
2022,11,1.0,371.23,,4331.11,13918.88
2022,12,90.5,109.9,3520.17,7551.58,11272.15
2023,1,74.75,14.0,4014.5,7551.58,11654.83
2023,2,322.88,9934.5,4308.04,7551.58,22117.0
2023,3,95.85,1211.0,4692.69,7551.58,13551.12
2023,4,132.2,7203.22,5222.52,7852.73,20410.67
2023,5,221.25,12047.62,4529.32,7852.73,24650.92
2023,6,151.75,243.8,4038.42,7852.73,12286.7
2023,7,185.38,775.53,3955.97,7852.73,12769.61
2023,8,112.65,535.61,3843.1,7852.73,12344.09
2023,9,228.6,9804.0,,8665.25,18697.85
2023,10,165.33,24027.28,,9925.22,34117.83
2023,11,837.47,,,7661.9,8499.37
2023,12,187.8,16380.65,,7688.08,24256.53
2024,1,198.05,,,8665.25,8863.3
2024,2,77.6,397.8,3538.52,5071.7,9085.62
2024,3,139.4,396.8,4092.33,4513.05,9141.58
2024,4,140.45,11748.22,4257.56,4604.28,20750.51
2024,5,596.81,2196.75,8369.24,,11162.8
2024,6,258.1,1191.05,4850.54,4554.33,10854.02
2024,7,292.35,,4860.86,4624.53,9777.74
2024,8,200.71,1033.65,1198.36,4582.14,7014.86
2024,9,665.61,18787.95,3206.4,4629.75,27289.71
2024,10,155.9,217.43,,4554.33,4927.66
2024,11,103.05,499.92,,4811.37,5414.34
2025,1,160.3,,,10520.63,10680.93
2025,2,353.4,22.0,4985.32,10544.34,15905.06
2025,3,211.85,11654.25,5729.42,10520.62,28116.14
2025,4,210.62,346.36,4530.15,10520.62,15607.75
2025,5,27.63,99.36,4186.09,10899.32,15212.4
2025,6,55.26,490.91,5145.71,10520.62,16212.5
2025,7,54.86,5870.51,4595.31,10665.82,21186.5
2025,8,110.12,577.7,5543.76,10520.62,16752.2
2025,9,151.41,67.0,4416.81,10520.62,15155.84
2025,10,53.26,4965.99,10520.62,,15539.87
2025,11,,51.0,4694.86,10520.62,15266.48
2025,12,,7320.7,,10520.62,17841.32
2026,1,11089.86,,,,11089.86
2026,2,129.6,4474.14,,,4603.74
2026,3,28.8,84.18,,,112.98
2026,4,399.31,,,,399.31
