ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2024,2303600,Catarina,SANTA CATARINA (UF),202442510008,IVETE DA SILVEIRA,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"1.500.000,00","1.250.985,90","1.250.985,90",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100005,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Ciência e Tecnologia,Desenvolvimento tecnológico e engenharia,"1.500.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100006,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Ciência e Tecnologia,Difusão do conhecimento científico e tecnológico,"230,00","50,00","50,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202422100008,ESPERIDIAO AMIN,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Ensino superior,"250,00","1.309.909,30","1.309.105,74",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202442730008,JORGE SEIF,,,Emenda Individual - Transferências com Finalidade Definida,Direitos da cidadania,"Direitos individuais, coletivos e difusos","300,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260013,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Transporte,Transporte rodoviário,"3.400.000,00","1.491.238,50","1.491.238,50",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260012,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Transporte,Transporte rodoviário,"3.475.423,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260006,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Cultura,Difusão cultural,"3.699.800,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202440620003,RICARDO GUIDI,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"4.548.641,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202490550007,GILSON MARQUES,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"6.429.935,00","439.935,00","439.935,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260015,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Transporte,Transporte rodoviário,"740,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260007,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Encargos especiais,Outros encargos especiais,"1.000,00","1.000,00","9.982.375,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202442090001,JORGE GOETTEN,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"18.936.000,00","18.936.000,00","18.936.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2024,2303600,Catarina,SANTA CATARINA (UF),202471260003,BANCADA DE SANTA CATARINA,,,Emenda de Bancada,Segurança pública,Policiamento,"21.168.278,28","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
