exercicio,instituicao,cod_ibge,uf,anexo,rotulo,coluna,cod_conta,conta,valor,populacao,ano
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.1.3.0.00.00,1.2.1.3.0.00.00 - Investimentos e Aplicações Temporárias a Longo Prazo,5672856.5,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.1.3.1.00.00,1.2.1.3.1.00.00 - Investimentos e Aplicações Temporárias a Longo Prazo - Consolidação,5672856.5,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.1.3.1.01.00,1.2.1.3.1.01.00 - Títulos e Valores Mobiliários,5672856.5,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.2.0.0.00.00,1.2.2.0.0.00.00 - Investimentos,952432,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.2.7.0.00.00,1.2.2.7.0.00.00 - Demais Investimentos Permanentes,952432,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.2.7.1.00.00,1.2.2.7.1.00.00 - Demais Investimentos Permanentes - Consolidação,952432,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.3.0.0.00.00,1.2.3.0.0.00.00 - Imobilizado,1957263593.14,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.3.1.0.00.00,1.2.3.1.0.00.00 - Bens Moveis,149618079.08,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.3.1.1.00.00,1.2.3.1.1.00.00 - Bens Móveis - Consolidação,149618079.08,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P1.2.3.2.0.00.00,1.2.3.2.0.00.00 - Bens Imóveis,1913978590.2,679378,2020
