exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,ano
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,OutrosServicos,Outros Serviços,11108000,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),OutrosServicos,Outros Serviços,7523657.07,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,No Bimestre (b),OutrosServicos,Outros Serviços,1045873.45,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (b/a),OutrosServicos,Outros Serviços,13.9,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),OutrosServicos,Outros Serviços,7523657.07,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (c/a),OutrosServicos,Outros Serviços,100,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1172039083.04,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1255568726.29,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,No Bimestre (b),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,207104446.31,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (b/a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,16.49,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,1255568726.29,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (c/a),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,100,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,261466555.13,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,396156094.61,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,No Bimestre (b),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,49164946.95,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (b/a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,12.41,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,396156094.61,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,% (c/a),TransferenciasCorrentesDaUniaoEDeSuasEntidades,Transferências da União e de suas Entidades,100,2020
2020,RREO,6,B,Prefeitura Municipal de Sorocaba - SP,3552205,SP,679378,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,TransferenciasCorrentesDosEstadosEDoDistritoFederalEDeSuasEntidades,Transferências dos Estados e do Distrito Federal e de suas Entidades,627785734.16,2020
