nro_processo,ano,situacao,obra,municipio,fonte,coletado_em
E00053,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00064,2017,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00064,2019,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00089,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00091,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00095,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
E00106,2017,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00001,2019,(Não informada),Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00001,2020,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00002,2019,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00003,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00005,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00006,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
G00011,2017,(Não informada),Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
P00001,2018,(Não informada),Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
P00001,2019,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
P00001,2021,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
P00002,2018,(Não informada),Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00016,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00074,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00112,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00146,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
