modalidade,nro_processo_licitatorio,nro_processo_adm,objeto,situacao,data,data_abertura,hora_abertura,total_registro_preco,valor_comprado,valor_estimado,itens,documentos,excel,municipio,fonte,coletado_em
Dispensa de Licitacao,00010/2026,18922025,Aquisicao de Pecas P/ Veiculos-mecanica,encerrada,27/01/2026,:,"0,00","440,00","440,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00011/2026,12482025,Servicos de Manutencao de Veiculos,encerrada,27/01/2026,:,"0,00","1.868,00","1.868,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00012/2026,18932025,Aquisicao de Pecas P/ Veiculos-mecanica,encerrada,27/01/2026,29/01/2026,12:00,"0,00","867,00","867,00",1,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00013/2026,18182025,Servicos de Manutencao de Veiculos,encerrada,27/01/2026,:,"0,00","1.551,00","1.551,00",3,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00014/2026,60125,Aquisicao de Materiais Eletricos,encerrada,28/01/2026,:,"0,00","22.320,00","22.320,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00015/2026,712026,Prestacao de Servico,encerrada,28/01/2026,:,"0,00","4.649.017,51","4.649.017,51",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00016/2026,742026,Servicos de Manutencao de Veiculos,encerrada,27/01/2026,:,"0,00","1.712,00","1.712,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00017/2026,17232025,Aquisicao de Pneus e Camaras de Ar,encerrada,29/01/2026,:,"0,00","13.200,00","13.547,68",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00018/2026,184b2025,Prestacao de Servico,encerrada,29/01/2026,:,"0,00","261,26","261,26",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00019/2026,3812025,Servicos de Manutencao de Veiculos,encerrada,02/02/2026,:,"0,00","4.385,21","4.385,21",2,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00020/2026,1022025,Acessorios para Veiculos,encerrada,03/02/2026,:,"0,00","4.427,40","4.427,40",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00021/2026,17252025,Aquisicao de Materiais Eletricos,encerrada,10/02/2026,:,"0,00","38.760,00","38.760,00",2,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00023/2026,832026,Servicos em Geral,encerrada,11/02/2026,:,"0,00","15.000,00","15.000,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00024/2026,18112025,Aquisicao de Ferramentas Manuais,encerrada,11/02/2026,:,"0,00","8.125,00","8.125,00",8,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00025/2026,1649/24,Aquisicao de Equipamentos Diversos,encerrada,13/02/2026,:,"0,00","4.500,00","4.500,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00026/2026,10262025,Aquisicao de Materiais Eletricos,encerrada,23/02/2026,:,"0,00","28.233,75","28.233,75",9,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00027/2026,3115/24,Contratacao de Servicos,encerrada,24/02/2026,:,"0,00","7.000,00","7.000,00",2,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00028/2026,82892026,Contratacao de Servicos Especializados,encerrada,24/02/2026,:,"0,00","18.820,00","18.820,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00029/2026,11952025,Aquisicao de Materiais Diversos,encerrada,09/03/2026,:,"0,00","6.615,00","6.825,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
