ano,nro_siam,tipo,cnpj_cpf,fornecedor,nome_fantasia,data_inicial,data_final,valor_contratado,valor_empenhado,valor_processado,valor_pago,objeto,modalidade_processo,nro_processo_adm,documentos,municipio,fonte,coletado_em
2026,0000000001,Fornecimento de Serviços,50.668.722/0022-11,Proactiva Meio Ambiente Brasil Ltda,Proactiva Ipero,15/01/2026,15/01/2028,"14.430.000,00","6.535.000,00","2.469.440,50","1.799.276,20",CONTRATACAO DE SERVICOS ESPECIALIZADOS,Pregao Eletronico (E00043/2025),31632024,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000002,Fornecimento de Serviços,15.789.185/0001-32,Hiper Ambiental Ltda,26/01/2026,26/01/2027,"459.700,00","118.945,47","0,00","0,00",SERVICOS DE ENGENHARIA,Concorrencia Eletronica (N00001/2025),4682025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000003,Fornecimento de Serviços,16.812.400/0001-31,Lester Infraestrutura Ltda Epp,18/02/2026,18/08/2026,"4.649.017,51","1.599.345,01","1.489.287,62","719.796,07",PRESTACAO DE SERVICO,Dispensa de Licitacao (S00015/2026),712026,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000004,Fornecimento de Serviços,00.000.000/0001-91,Banco do Brasil S.a.,Banco do Brasil S.a.,19/02/2026,19/02/2027,"15.000,00","9.738,74","1.046,41","1.046,41",SERVICOS EM GERAL,Dispensa de Licitacao (S00023/2026),832026,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000006,Fornecimento de Serviços,04.597.289/0001-29,Net Telecom Informatica Ltda,Net Telecom,18/03/2026,18/09/2026,"199.500,00","199.500,00","0,00","0,00",SERVICOS EM GERAL,Pregao Eletronico (E00040/2025),8782025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000007,Fornecimento de Material,12.059.278/0001-13,Habiatar Comercio e Serv de Manut Ltda Epp,20/03/2026,20/03/2027,"14.099,65","10.574,73","3.540,21","3.540,21",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000008,Fornecimento de Material,09.512.045/0001-10,Ser Epis e Ferramentas Eireli - Me.,Ser Epis,20/03/2026,20/03/2027,"147.880,95","110.910,40","0,00","0,00",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000009,Fornecimento de Material,28.239.060/0001-80,Vps Brasil Suprimentos Industriais Ltda,Vps Brasil Suprimentos Industriais,20/03/2026,20/03/2027,"71.169,51","53.375,34","18.567,87","16.702,32",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000010,Fornecimento de Material,14.276.065/0001-79,Boa Obra Materiais P/ Construcao W V Ltda-epp,Boa Obra,20/03/2026,20/03/2027,"344.399,10","266.514,23","8.214,96","8.214,96",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000011,Fornecimento de Material e Serviços,35.691.337/0001-77,Sfrivos Tratamento de Agua S/s,Acquozone,27/03/2026,24/06/2026,"238.958,53","238.958,53","0,00","0,00",AQUISICAO DE EQUIPAMENTOS DIVERSOS,Dispensa de Licitacao (S00031/2026),1746/24,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
