arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_previdenciario_2012_09_9_balanco_prevset12.pdf,2012,balanco_previdenciario,,14404,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2012_10_10_balanco_prevout12.pdf,2012,balanco_previdenciario,,14411,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2012_11_11_balanco_prevnov12.pdf,2012,balanco_previdenciario,,14438,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2012_12_12_balanco_prevdez12.pdf,2012,balanco_previdenciario,,14402,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_01_1_balanco_prevjan13.pdf,2013,balanco_previdenciario,,14888,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_02_2_balanco_prevfev13.pdf,2013,balanco_previdenciario,,14929,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_03_3_balanco_prevmar13.pdf,2013,balanco_previdenciario,,14948,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_04_4_balanco_prevabr13.pdf,2013,balanco_previdenciario,,14921,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_05_5_balanco_prevmai13.pdf,2013,balanco_previdenciario,,14978,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_06_6_balanco_prevjun13.pdf,2013,balanco_previdenciario,,14963,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_07_7_balanco_prevjul13.pdf,2013,balanco_previdenciario,,14959,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_08_8_balanco_prevago13.pdf,2013,balanco_previdenciario,,14977,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_09_9_balanco_prevset13.pdf,2013,balanco_previdenciario,,14432,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_10_10_balanco_prevout13.pdf,2013,balanco_previdenciario,,14760,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_11_11_balanco_prevnov13.pdf,2013,balanco_previdenciario,,14802,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2013_12_12_balanco_prevdez13.pdf,2013,balanco_previdenciario,,14768,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_01_1_balanco_prevjan14.pdf,2014,balanco_previdenciario,,14149,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_02_2_balanco_prevfev14.pdf,2014,balanco_previdenciario,,14148,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_03_3_balanco_prevmar14.pdf,2014,balanco_previdenciario,,14180,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_04_4_balanco_prevabr14.pdf,2014,balanco_previdenciario,,14115,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
