arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_saude_2013_10_10_balanco_saudeout13.pdf,2013,balanco_saude,,14506,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2013_11_11_balanco_saudenov13.pdf,2013,balanco_saude,,14522,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2013_12_12_balanco_saudedez13.pdf,2013,balanco_saude,,14529,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_01_1_balanco_saudejan14.pdf,2014,balanco_saude,,13568,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_02_2_balanco_saudefev14.pdf,2014,balanco_saude,,13566,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_03_3_balanco_saudemar14.pdf,2014,balanco_saude,,13560,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_04_4_balanco_saudeabr14.pdf,2014,balanco_saude,,13560,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_05_5_balanco_saudemai14.pdf,2014,balanco_saude,,13524,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_06_6_balanco_saudejun14.pdf,2014,balanco_saude,,13559,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_07_7_balanco_saudejul14.pdf,2014,balanco_saude,,13529,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_08_8_balanco_saudeago14.pdf,2014,balanco_saude,,13529,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_09_9_balanco_saudeset14.pdf,2014,balanco_saude,,13574,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_10_10_balanco_saudeout14.pdf,2014,balanco_saude,,13767,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_11_11_balanco_saudenov14.pdf,2014,balanco_saude,,13730,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2014_12_12_balanco_saudedez14.pdf,2014,balanco_saude,,13749,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_01_1_balanco_saudejan15.pdf,2015,balanco_saude,,14455,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_02_2_balanco_saudefev15.pdf,2015,balanco_saude,,14414,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_03_3_balanco_saudemar15.pdf,2015,balanco_saude,,14463,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_04_4_balanco_saudeabr15.pdf,2015,balanco_saude,,14476,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_05_5_balanco_saudemai15.pdf,2015,balanco_saude,,14467,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_06_6_balanco_saudejun15.pdf,2015,balanco_saude,,14460,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_07_7_balanco_saudejul15.pdf,2015,balanco_saude,,14472,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
