ano,mes,tipo_operacao,valor_brl,data_apr,fonte
2022,01,Resgate,"75.000,00",03/10/2022,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2022,01,Aplicação,"1.068.186,10",01/11/2022,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2022,01,Resgate,"20.000.000,00",23/12/2022,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"35.000,00",02/01/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"31.547,68",01/02/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"3.600,00",01/03/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Dispositivos,"14.334.000,00",04/04/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"139.000,00",31/05/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Aplicação,"262.000,00",01/06/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"4.000,00",03/07/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"4.000,00",01/08/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,00,Resgate,"11.016.716,31",01/09/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,01,Resgate,"248.000,00",02/10/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,01,Resgate,"44.000,00",01/11/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2023,01,Aplicação,"7.940.000,00",04/12/2023,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"84.000,00",02/01/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"33.000,00",01/02/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"17.000,00",01/03/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"29.000,00",01/04/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"46.000,00",02/05/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"12.000,00",03/06/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"5.000,00",01/07/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Resgate,"11.000,00",01/08/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,00,Aplicação,"30.000.000,00",02/09/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,01,Aplicação,"30.000.000,00",01/10/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,01,,"39.000,00",01/11/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2024,01,,"20.000,00",02/12/2024,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"48.000,00",02/01/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"6.000,00",03/02/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"29.000,00",05/03/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Aplicação,"38.000,00",01/04/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"162.000,00",05/05/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"6.000,00",02/06/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"30.872.010,13",01/07/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"35.000,00",01/08/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,00,Resgate,"6.000,00",01/09/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,01,Resgate,"18.000,00",01/10/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,01,Resgate,"34.544,74",03/11/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2025,01,Resgate,"19.000,00",01/12/2025,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2026,00,Resgate,"3.000,00",05/01/2026,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2026,00,Resgate,"3.000,00",05/01/2026,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
2026,00,Resgate,"3.200,00",02/03/2026,FUNSERV Sorocaba - APR (Autorizacao de Aplicacao e Resgate)
