arquivo,ano,categoria,paginas,chars,tem_texto,fonte
governanca_05_pe_5_anos_revisao_2026.pdf,2026,governanca,,472,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2019_01_01_ri_controle_interno_1_2019.pdf,2019,governanca,,6485,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2019_02_02_ri_controle_interno_2_2019.pdf,2019,governanca,,6485,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_07_07_controleinterno_julho2020.pdf,2020,governanca,,5928,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_08_08_controleinterno_agosto2020.pdf,2020,governanca,,6696,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_09_09_controleinterno_setembro2020.pdf,2020,governanca,,6704,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_10_10_controleinterno_outubro2020.pdf,2020,governanca,,6700,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_12_12_controleinterno_dezembro2020.pdf,2020,governanca,,6956,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2020_controleinterno_1sem2020.pdf,2020,governanca,,6553,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_01_01_controle_2021.pdf,2021,governanca,,6836,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_02_02_controle_2021.pdf,2021,governanca,,6844,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_03_03_controle_2021.pdf,2021,governanca,,6739,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_09_09_controle_2021.pdf,2021,governanca,,6952,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_10_10_controle_2021.pdf,2021,governanca,,6965,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_11_11_controle_2021.pdf,2021,governanca,,6959,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2021_12_12_controle_2021.pdf,2021,governanca,,6969,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_01_01_controle_2022.pdf,2022,governanca,,6965,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_02_02_controle_2022.pdf,2022,governanca,,6973,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_03_03_controle_2022.pdf,2022,governanca,,6957,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_04_04_controle_2022.pdf,2022,governanca,,6957,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_05_05_controle_2022.pdf,2022,governanca,,6953,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_06_06_controle_2022.pdf,2022,governanca,,6957,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_07_07_controle_2022.pdf,2022,governanca,,6957,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_08_08_controle_2022.pdf,2022,governanca,,6967,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_09_09_controle_2022.pdf,2022,governanca,,6969,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_10_10_controle_2022.pdf,2022,governanca,,6965,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_11_11_controle_2022.pdf,2022,governanca,,6969,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_12_12_controle_2022.pdf,2022,governanca,,6969,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2022_relatorio_de_governanca_corporativa.pdf,2022,governanca,,4487,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2023_01_01_quadrimestre_controle_2023.pdf,2023,governanca,,7276,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2023_02_02_quadrimestre_controle_2023.pdf,2023,governanca,,8015,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2023_03_03_quadrimestre_controle_2023.pdf,2023,governanca,,7507,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2024_01_01_quadrimestre_controle_2024.pdf,2024,governanca,,8722,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2024_02_02_quadrimestre_controle_2024.pdf,2024,governanca,,8457,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2024_03_03_quadrimestre_controle_2024.pdf,2024,governanca,,8894,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2024_ouvidoria_2024.pdf,2024,governanca,,6175,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2024_relatorio_de_governanca_corporativa.pdf,2024,governanca,,2404,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_01_01_trimestre_controle_2025.pdf,2025,governanca,,8607,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_04_04_abril_controle_2025.pdf,2025,governanca,,8586,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_05_05_maio_controle_2025.pdf,2025,governanca,,9613,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_06_06_junho_controle_2025.pdf,2025,governanca,,10560,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_07_07_julho_controle_2025.pdf,2025,governanca,,10560,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_08_08_agosto_controle_2025.pdf,2025,governanca,,11283,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_09_09_setembro_controle_2025.pdf,2025,governanca,,10713,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_09_10_setembro_controle_2025.pdf,2025,governanca,,11116,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_11_10_novembro_controle_2025.pdf,2025,governanca,,11759,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_12_12_dezembro_controle_2025.pdf,2025,governanca,,11759,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_controle_2025.pdf,2025,governanca,,6102,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_crp_2025.pdf,2025,governanca,,1911,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_relatorio_acompanhamento_recomendacoes_tce_sp_atual.pdf,2025,governanca,,4144,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_relatorio_de_governanca_corporativa.pdf,2025,governanca,,2450,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_relatorio_de_governanca_corporativa_2o_sem.pdf,2025,governanca,,2475,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2025_rfc_2025.pdf,2025,governanca,,4625,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
