Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"42.842.010,90","41.250.184,62","38.261.206,32","1.591.826,28","2.988.978,30",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3530607
06.122 - Administração Geral,"38.285.176,00","37.587.003,38","35.041.563,77","698.172,62","2.545.439,61",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3530607
06.181 - Policiamento,"1.071.680,83","908.333,69","857.379,36","163.347,14","50.954,33",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3530607
06.182 - Defesa Civil,"2.408.946,92","2.025.969,35","1.928.385,37","382.977,57","97.583,98",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3530607
06.183 - Informação e Inteligência,"1.076.207,15","728.878,20","433.877,82","347.328,95","295.000,38",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3530607
