Categoria,Conta,Valor
proprios,IPTU,240698132.37
proprios,ISS,617718208.05
proprios,ITBI,90840492.58
proprios,IRRF,176317886.86
federais,Cota-Parte do FPM,119821017.35
estaduais,Cota-Parte do ICMS,757669834.82
estaduais,Cota-Parte do IPVA,202493313.49
federais,Cota-Parte do ITR,361208.10
estaduais,IPI - Exportações (LC 61/1989),4461475.94
