Funcao,ASPS_Empenhada,ASPS_Liquidada,ASPS_Paga,SUS_Empenhada,SUS_Liquidada,SUS_Paga,Total_Empenhada,Total_Liquidada,Total_Paga,Quadrimestre
atencao basica,"77505030,67","66752069,75","64938594,02","26440124,34","9712418,12","9712418,12","103945155,01","76464487,87","74651012,14",1
assistencia hospitalar e ambulatorial,"186632527,78","118785468,11","117284688,24","142229062,37","67365975,62","67365975,62","328861590,15","186151443,73","184650663,86",1
suporte profilatico e terapeutico,"2053748,17","1239966,91","1239966,91","4862762,19","1216082,05","1216082,05","6916510,36","2456048,96","2456048,96",1
vigilancia sanitaria,"2047070,37","1942711,61","1889949,32","414243,74","70244,63","70244,63","2461314,11","2012956,24","1960193,95",1
vigilancia epidemiologica,"6453343,05","6271169,42","6139839,12","5021701,18","2044343,61","2025239,61","11475044,23","8315513,03","8165078,73",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
outras subfuncoes,"15615097,86","12396468,75","12234325,28","0,00","0,00","0,00","15615097,86","12396468,75","12234325,28",1
TOTAL,"290306817,90","207387854,55","203727362,89","178967893,82","80409064,03","80389960,03","469274711,72","287796918,58","284117322,92",1
atencao basica,"141297568,53","132399647,29","129671256,87","42994692,88","28173104,57","27570451,76","184292261,41","160572751,86","157241708,63",2
assistencia hospitalar e ambulatorial,"276351029,89","225670939,85","224536503,34","166238242,85","115711543,01","115672731,97","442589272,74","341382482,86","340209235,31",2
suporte profilatico e terapeutico,"2260012,40","2087529,09","2087529,09","5996243,86","5493727,11","5241618,10","8256256,26","7581256,20","7329147,19",2
vigilancia sanitaria,"4023298,04","3968782,77","3881377,51","478249,58","373333,24","373333,24","4501547,62","4342116,01","4254710,75",2
vigilancia epidemiologica,"12442027,19","12338702,47","12095627,75","8543494,20","5498203,05","5497080,04","20985521,39","17836905,52","17592707,79",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
outras subfuncoes,"26628388,52","24607369,21","24370329,06","0,00","0,00","0,00","26628388,52","24607369,21","24370329,06",2
TOTAL,"463002324,57","401072970,68","396642623,62","224250923,37","155249910,98","154355215,11","687253247,94","556322881,66","550997838,73",2
atencao basica,"216024079,28","215659902,79","210452735,31","47159280,13","43654483,69","43208201,18","263183359,41","259314386,48","253660936,49",3
assistencia hospitalar e ambulatorial,"339274587,86","334307469,94","330356408,31","207766823,69","189702268,75","187291639,57","547041411,55","524009738,69","517648047,88",3
suporte profilatico e terapeutico,"2361407,59","2247361,99","2247361,99","6523455,22","5887630,94","5876839,39","8884862,81","8134992,93","8124201,38",3
vigilancia sanitaria,"6003759,72","6003759,72","5928076,16","675654,27","675654,27","675654,27","6679413,99","6679413,99","6603730,43",3
vigilancia epidemiologica,"20828710,95","20828710,95","20235801,09","9389628,07","9159749,68","8926860,29","30218339,02","29988460,63","29162661,38",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
outras subfuncoes,"39694375,18","39562764,06","38996493,86","619880,43","619880,43","619880,43","40314255,61","40182644,49","39616374,29",3
TOTAL,"624186920,58","618609969,45","608216876,72","272134721,81","249699667,76","246599075,13","896321642,39","868309637,21","854815951,85",3
