Categoria,Conta,Valor
proprios,IPTU,274314032.66
proprios,ISS,683854089.60
proprios,ITBI,106126592.87
proprios,IRRF,224762818.58
federais,Cota-Parte do FPM,123513132.43
estaduais,Cota-Parte do ICMS,712161106.14
estaduais,Cota-Parte do IPVA,240787529.56
federais,Cota-Parte do ITR,478133.90
estaduais,IPI - Exportações (LC 61/1989),4114383.32
