Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Saude_Previsao,Minimo_Saude_Arrecadado,Percentual_Aplicado_Liquidado
1,"1.018.508.245,43","380.807.381,96","100.001.722,64","37.614.017,31","918.585.378,47","371.596.997,87","2.037.095.346,54","790.018.397,14","305.564.301,98","118.502.759,57","22,96"
2,"1.069.583.835,93","751.654.368,37","108.250.880,33","78.311.415,19","963.971.884,34","681.272.966,80","2.141.806.600,60","1.511.238.750,36","321.270.990,09","226.685.812,55","27,66"
3,"1.125.574.719,68","1.125.574.719,86","110.410.453,46","110.044.618,33","972.954.422,22","964.624.624,25","2.208.939.595,36","2.200.243.962,44","331.340.939,30","330.036.594,36","27,32"
