Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre
administracao geral,"82.925.750,25","15.615.097,86","12.396.468,75","12.234.325,28",1
atencao basica,"248.836.211,61","77.505.030,67","66.752.069,75","64.938.594,02",1
assistencia hospitalar e ambulatorial,"220.818.360,39","186.632.527,78","118.785.468,11","117.284.688,24",1
suporte profilatico e terapeutico,"2.257.855,45","2.053.748,17","1.239.966,91","1.239.966,91",1
vigilancia sanitaria,"3.192.933,00","2.047.070,37","1.942.711,61","1.889.949,32",1
vigilancia epidemiologica,"11.015.578,98","6.453.343,05","6.271.169,42","6.139.839,12",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00",1
DESPESAS LIQUIDAS DA SAUDE,"569.046.689,68","290.306.817,90","207.387.854,55","203.727.362,89",1
administracao geral,"75.258.101,08","26.628.388,52","24.607.369,21","24.370.329,06",2
atencao basica,"222.703.878,49","141.297.568,53","132.399.647,29","129.671.256,87",2
assistencia hospitalar e ambulatorial,"298.920.202,81","276.351.029,89","225.670.939,85","224.536.503,34",2
suporte profilatico e terapeutico,"2.270.601,40","2.260.012,40","2.087.529,09","2.087.529,09",2
vigilancia sanitaria,"4.029.055,05","4.023.298,04","3.968.782,77","3.881.377,51",2
vigilancia epidemiologica,"13.133.364,58","12.442.027,19","12.338.702,47","12.095.627,75",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00",2
DESPESAS LIQUIDAS DA SAUDE,"616.315.203,41","463.002.324,57","401.072.970,68","396.642.623,62",2
administracao geral,"39.804.952,92","39.694.375,18","39.562.764,06","38.996.493,86",3
atencao basica,"219.488.266,58","216.024.079,28","215.659.902,79","210.452.735,31",3
assistencia hospitalar e ambulatorial,"343.878.270,40","339.274.587,86","334.307.469,94","330.356.408,31",3
suporte profilatico e terapeutico,"2.361.407,59","2.361.407,59","2.247.361,99","2.247.361,99",3
vigilancia sanitaria,"6.003.759,72","6.003.759,72","6.003.759,72","5.928.076,16",3
vigilancia epidemiologica,"20.829.494,40","20.828.710,95","20.828.710,95","20.235.801,09",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00",3
DESPESAS LIQUIDAS DA SAUDE,"632.366.151,61","624.186.920,58","618.609.969,45","608.216.876,72",3
