obra_id,contrato,cpl,objeto,secretaria,empresa_contratada,cnpj,cnpj_valido,valor_contrato,percentual_concluido,status,financiadora,previsao_conclusao,quantidade,logradouro,bairro,municipio,uf,cep
11,433/2023,458/2021,reabilitaçao da infraestrutura viária em vias do setor 7.,SEAD - Secretaria de Administração,CASAMAX COMERCIAL E SERVIÇOS LTDA - CONSÓRCIO DUPLICAÇÃO E PAVIMENTAÇÃO SOROCABA,08183516000120,1,"25406904,34","99,21%",Ativo,NDB,2024-10-24,711.81 m,Rua João Silvestre,Cajuru do Sul,Sorocaba,SP,18105-170
12,200/2023,186/2021,"duplicação e pavimentação da av. três de março, entre a av. engº carlos reinaldo mendes e a rua quirino de mello no município de sorocaba (financiamento internacional - caf)",SEAD - Secretaria de Administração,CASAMAX COMERCIAL E SERVIÇOS LTDA - CONSÓRCIO DUPLICAÇÃO E PAVIMENTAÇÃO SOROCABA,08183516000120,1,"45150546,24","87,05%",Ativo,CAF,None,110.00 m²,Avenida Três de Março,Aparecidinha,Sorocaba,SP,18087-180
13,201/2023,186/2021,"duplicação e pavimentação da av. três de março, entre a av. engº carlos reinaldo mendes e a rua quirino de mello no município de sorocaba (financiamento internacional - caf)",SEAD - Secretaria de Administração,OESTEVALLE PAVIMENTAÇÕES E CONSTRUÇÕES LTDA - CONSÓRCIO DUPLICAÇÃO E PAVIMENTAÇÃO SOROCABA,06931094000107,1,"45150546,24","99,45%",Ativo,CAF,2024-11-17,110.00 m²,Avenida Três de Março,Aparecidinha,Sorocaba,SP,18087-180
14,732/2022,294/2021,"duplicação da rua pereira da fonseca e recuperação da pista existe, bem como vpavimentação e requalificação asfáltica na rua prof. franco de almeida filho (financiamento internacional)",SEAD - Secretaria de Administração,TECLA CONSTRUÇÕES LTDA,53552691000100,1,"20647428,94","99,99%",Ativo,CAF,2024-09-08,5500.00 m²,Avenida Conde Zeppelin,Éden,Sorocaba,SP,18103-008
15,17/2024,30/2023,construção de unidade de atenção especializada em saúde (oliclínica) - contrato de repasse nº 905321/2020/msaude/caixa - convênio com o governo federal,SES - Secretaria da Saúde,IMPREJ ENGENHARIA LTDA,50559772000136,1,"21179294,46","65,39%",Ativo,CAIXA,2026-07-07,0.00 m²,AVENIDA IPANEMA,,SOROCABA,SP,18071-801
16,440/2023,443/2022,implantação de pista de skate no jardim são guilherme,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"121849,01","99,99%",Ativo,PREFEITURA MUNICIPAL DE SOROCABA,2024-05-31,0.00 m²,RUA FRANCISCO AUGUSTO,JD SAO GUILHERME,SOROCABA,SP,18074-651
17,179/2023,006/2022,construção de escola municipal no jd. amália.,SEDU - Secretaria da Educação,IMPREJ ENGENHARIA LTDA,50559772000136,1,"9783045,89","72,72%",Ativo,PMS,2025-12-12,3113.75 m²,Rua Tenente José Ribeiro da Silva,,,,18103-645
18,452/2023,221/2023,implantação de sistema de lazer no jd. dona teresa - bairro do éden.,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"164367,73","100,00%",Ativo,ESTADUAL,2024-07-31,0.00 m²,Estrada Josefa Roz Carmona de Lima,Jardim Dona Teresa,Sorocaba,SP,18103-063
19,921/2023,426/2023,implantação de sistema de playground e estacionamento na rua arthur caligari - jd. são conrado,SERPO - Secretaria de Serviços Públicos e Obras,DCA ENGENHARIA E CONSTRUÇÕES EIRELI,14634377000107,1,"345352,39","99,51%",Ativo,Câmara Municipal de Sorocaba,2024-09-27,0.00 m²,Rua Arthur Cagliari,,Sorocaba,SP,18076-210
20,583/2024,257/2023,reforma do céu das artes - laranjeiras.,SEQUAV - Secretaria de Esporte e Qualidade de Vida,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"1435037,01","98,72%",Ativo,PREFEITURA MUNICIPAL DE SOROCABA,2024-11-23,0.00 m²,Rua Washington Pensa,Parque Laranjeiras,Sorocaba,SP,18077-688
21,839/2023,291/2023,implantação de academia ao ar livre no parque das paineiras.,SERPO - Secretaria de Serviços Públicos e Obras,MAHAL SERVIÇOS EM CONSTRUÇÕES EIRELI,21355502000105,1,"84983,97","96,07%",Ativo,Câmara Municipal de Sorocaba,2024-07-31,0.00 m²,Rua Eliza Stefani,Parque Paineiras,Sorocaba,SP,18078-619
22,909/2023,389/2023,investimentos urbanísticos e obras na região do bairro brigadeiro tobias,SERPO - Secretaria de Serviços Públicos e Obras,MAHAL SERVIÇOS EM CONSTRUÇÕES EIRELI,21355502000105,1,"226862,77","100,00%",Ativo,Câmara Municipal de Sorocaba,2024-08-07,0.00 m²,Avenida bandeirantes,Brigadeiro Tobias,Sorocaba,SP,18108-540
23,903/2023,416/2023,construção de passarela e passeio público no jardim santa luiza.,SERPO - Secretaria de Serviços Públicos e Obras,DCA ENGENHARIA E CONSTRUÇÕES LTDA,14634377000107,1,"229821,62","99,99%",Ativo,Câmara Municipal de Sorocaba,2024-10-01,0.00 m²,Rua Marco Antônio Laino,Jd. Santa Luiza,,,18078-620
24,872/2023,293/2023,implantação de academia ao ar livre no jd. harmonia,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"96120,73","98,45%",Ativo,Câmara Municipal de Sorocaba,2024-06-04,0.00 m²,Rua Maria do Carmo C. Pogian,Jd Harmonia,,,18103-656
