Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"510.841.284,32","496.558.256,33","494.258.521,69","14.283.027,99","2.299.734,64",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3550308
06.122 - Administração Geral,"403.976.789,93","403.412.897,67","402.962.482,34","563.892,26","450.415,33",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3550308
06.181 - Policiamento,"71.953.433,70","61.461.525,31","60.346.572,66","10.491.908,39","1.114.952,65",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3550308
06.182 - Defesa Civil,"31.959.651,41","29.121.977,34","28.552.950,36","2.837.674,07","569.026,98",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3550308
