ano,municipio,fonte,categoria,orgao_remetente,descricao,valor_bruto,moeda
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Estruturação da Rede de Serviços Públicos de Saúde (INVESTIMENTO) — ATENÇÃO BÁSICA: ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE ATENÇÃO BÁSICA DE SAÚDE,450000.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Estruturação da Rede de Serviços Públicos de Saúde (INVESTIMENTO) — CORONAVÍRUS (COVID-19): CORONAVÍRUS (COVID-19) - SAPS,907481.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ASSISTÊNCIA FARMACÊUTICA: PROMOÇÃO DA ASSISTÊNCIA FARMACÊUTICA E INSUMOS ESTRATÉGICOS NA ATENÇÃO BÁSICA EM SAÚDE,421282.44,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: IMPLEMENTAÇÃO DE POLÍTICAS PARA A REDE CEGONHA,1036.9,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: INCENTIVO FINANCEIRO DA APS - CAPITAÇÃO PONDERADA,586727.75,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: INCENTIVO FINANCEIRO DA APS - DESEMPENHO,67740.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: INCENTIVO FINANCEIRO DA APS - FATOR COMPENSATÓRIO DE TRANSIÇÃO,2302944.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: INCENTIVO PARA AÇÕES ESTRATÉGICAS,5519.25,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO BÁSICA: INCREMENTO TEMPORÁRIO AO CUSTEIO DOS SERVIÇOS DE ATENÇÃO BÁSICA EM SAÚDE,1050000.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR: ATENÇÃO À SAÚDE DA POPULAÇÃO PARA PROCEDIMENTOS NO MAC,7138793.16,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR: FAEC - CIRURGIAS ELETIVAS,137549.12,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR: INCREMENTO TEMPORÁRIO AO CUSTEIO DOS SERVIÇOS DE ASSISTÊNCIA HOSPITALAR E ,300000.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — CORONAVÍRUS (COVID-19): CORONAVÍRUS (COVID-19),6122262.43,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — CORONAVÍRUS (COVID-19): CORONAVÍRUS (COVID-19) - SAES,229785.6,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — CORONAVÍRUS (COVID-19): CORONAVÍRUS (COVID-19) - SAPS,236085.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — CORONAVÍRUS (COVID-19): CORONAVIRUS (COVID-19) - SCTIE,342729.18,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — CORONAVÍRUS (COVID-19): CORONAVÍRUS (COVID-19) - SVS,300000.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — GESTÃO DO SUS: IMPLEMENTAÇÃO DA SEGURANÇA ALIMENTAR E NUTRICIONAL NA SAÚDE,16000.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,"Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — VIGILÂNCIA EM SAÚDE: ASSISTÊNCIA FINANCEIRA COMPLEMENTAR AOS ESTADOS, DISTRITO FEDERAL E MUNICÍPIOS PARA AGENTES DE COMBATE ÀS ENDEMIAS",342950.0,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,"Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — VIGILÂNCIA EM SAÚDE: INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICÍPIOS EXECUÇÃO AÇÕES VIGILÂNCIA SANITÁRIA",73953.12,BRL
2020,paulinia,FNS_FAF,saude,Fundo Nacional de Saúde,"Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO) — VIGILÂNCIA EM SAÚDE: INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICÍPIOS PARA A VIGILÂNCIA EM SAÚDE - DESPESAS DIVERSAS",231873.12,BRL
