fonte_categoria,fonte_nome,rotulo,url
contas_anuais,Contas Anuais,Aplicação no Ensino,https://www.tce.sp.gov.br/sites/default/files/portal/2.%20Acessorio%202%20-%20Ensino%20-%20Relat%C3%B3rio.pdf
contas_anuais,Contas Anuais,Relatório LRF,https://www.tce.sp.gov.br/sites/default/files/portal/3.%20Acess%C3%B3rio%203%20Relat%C3%B3rio%20LRF%202023%20-%20TC-007729.989.23-6.pdf
contas_anuais,Contas Anuais,Aplicação na Saúde,https://www.tce.sp.gov.br/sites/default/files/portal/4.%20Acessorio%204%20-%20Aplica%C3%A7%C3%A3o%20na%20Sa%C3%BAde%20-%20TC-007731.989.23-2.pdf
contas_anuais,Contas Anuais,Fiscalização Operacional – Fila Estadual SUS,https://www.tce.sp.gov.br/sites/default/files/portal/5.%20Fiscaliza%C3%A7%C3%A3o%20Operacional%20-%20Fila%20Estadual%20do%20SUS%20-%20TC-%20021571.989.23-5.pdf
contas_anuais,Contas Anuais,Fiscalização Operacional – Transporte sobre Trilhos,https://www.tce.sp.gov.br/sites/default/files/portal/6.%20Fiscaliza%C3%A7%C3%A3o%20Operacional%20-%20Transporte%20sobre%20Trilhos%20-%20TC-021575.989.23-1.pdf
contas_anuais,Contas Anuais,Fiscalização Operacional - Acompanhamento SAP,https://www.tce.sp.gov.br/sites/default/files/portal/7.%20Fiscaliza%C3%A7%C3%A3o%20Operacional%20-%20Acompanhamento%20SAP%20-%20TC-021574.989.23-2-1.pdf
contas_anuais,Contas Anuais,Fiscalização Operacional – Planejamento do Quadro Docente,https://www.tce.sp.gov.br/sites/default/files/portal/8.%20Fiscaliza%C3%A7%C3%A3o%20Operacional%20-%20Planejamento%20do%20Quadro%20Docente%20-%20TC-021570.989.23-6.pdf
contas_anuais,Contas Anuais,Fiscalização Operacional – Educação Especial,https://www.tce.sp.gov.br/sites/default/files/portal/9.%20Fiscaliza%C3%A7%C3%A3o%20Operacional%20-%20Educa%C3%A7%C3%A3o%20Especial%20-%20TC-021572.989.23-4.pdf
contas_anuais,Contas Anuais,Manifestação DSF,https://www.tce.sp.gov.br/sites/default/files/portal/10.%20%20Manifesta%C3%A7%C3%A3o%20DSF-I.pdf
contas_anuais,Contas Anuais,Cálculo,https://www.tce.sp.gov.br/sites/default/files/portal/11.1%20-%20Manifesta%C3%A7%C3%A3o%20ATJ%20C%C3%81LCULO.pdf
