Exercício,Mês,Município,Entidade,Item de Análise
2019,2,Sorocaba,PREFEITURA MUNICIPAL DE SOROCABA,CI01 - Cumprimento das entregas da documentação exigida pelo TCE
2019,3,Sorocaba,CÂMARA MUNICIPAL DE SOROCABA,GF53 - Limite Constitucional para gasto com Folha de Pagamento
2019,4,Sorocaba,CÂMARA MUNICIPAL DE SOROCABA,CI01 - Cumprimento das entregas da documentação exigida pelo TCE
2019,4,Sorocaba,CÂMARA MUNICIPAL DE SOROCABA,GF37 - Análise das despesas assumidas nos últimos quatro bimestres (Art. 42 da LRF)
2019,4,Sorocaba,PREFEITURA MUNICIPAL DE SOROCABA,AE02 - Planejamento Atualizado de Aplicação em Ensino
2019,4,Sorocaba,PREFEITURA MUNICIPAL DE SOROCABA,AE03 - Aplicação de Recursos Próprios em Ensino com base na Despesa Liquidada
2019,4,Sorocaba,PREFEITURA MUNICIPAL DE SOROCABA,CI01 - Cumprimento das entregas da documentação exigida pelo TCE
