ano,municipio,orgao,cargo,tipo_valor,valor,portaria,fonte
2016,sorocaba,camara,agentedeApooLegsistvo-Porara,total,1355.13,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Assessorde Empedieniee Plenário,total,12442.06,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,hosessordeLitaçõese Contratos,total,13442.06,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Chefe de Seção de Assuntos Jurídicos az5434,total,5258.08,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Creio do Seçso de EspeciçãocAquo,total,1501.74,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Coreto de Seção de Espesiente Legisitvo,total,1501.74,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,cnete oe Seção de lictações Contratos,total,1601.74,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Chete de Seção de Telefonia,total,5286.08,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,cretedeSoniçodecoa,total,2510.67,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,oretede SenvicodeMantenção,total,2374.87,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,CreieceSeniodePoraia,total,1187.34,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Coordenador da Qualidade do tegisistivo,total,5286.08,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,coodenadorcocenmonial,total,5230.45,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Coordenador Técnico de Engenhanace TV,total,6400.23,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,DretordeDwsdodeFinanças,total,6409.23,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Operador de Cê Z 178.48 20%,total,435.7,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,“Secretário de Comunicação institucional,total,12702.23,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,Emcmtároduídico,total,6080.8,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
2016,sorocaba,camara,7 Vamremeidoveresdor =,total,10825.0,PORTARIA N.º 001/2016,Câmara Sorocaba - PDF escaneado (OCR)
