ano,municipio,orgao,cargo,tipo_valor,valor,portaria,fonte
2018,sorocaba,camara,assessordeEpedientee Plenário,total,150.5,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,cnefede Senviçode Portara,total,2725.96,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Coordenador Técnico de Engenharia de TV,total,1030.27,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Diretorde Divisão de Assuntos Internos,total,10300.27,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Diretor de Divisão de Assuntos Jurídicos,total,10300.27,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Diretorde Divisão de Expediente,total,1030.27,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Motorista,total,2267.2,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,Oficialde Manutenção,total,2267.2,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,operadordeÁudo,total,3000.88,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
2018,sorocaba,camara,operadorde Câmera,total,3000.88,PORTARIA N.º 001/2018,Câmara Sorocaba - PDF escaneado (OCR)
