ano,municipio,orgao,cargo,tipo_valor,valor,portaria,fonte
2024,sorocaba,camara,ioentede Apoio Legishtvol TT 2q68ão,total,2168.4,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Mente de Apolo tegeiivol,total,2168.4,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,MralstaOramentároeFhancero,total,8188.56,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Assescordolictações Contratos,total,21500.56,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Mssessortegaivo fia sgsa,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,AssessorPatemenar ossos,total,8556.68,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,MesitentodaPresiência — ——Tios66so,total,10186.55,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,(oheiedoGabneto TT Togos gs,total,10605.86,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Chefe de Seção de Espedição eArquvo,total,8410.6,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Ohetede Seção de Expediente Legisitro,total,8410.6,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,ohete de Seção ce itaçõese Contratos,total,8410.6,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Ohefe de Seção demtoricisePatimório,total,8410.6,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,ohefedeseçãodePmtocoo,total,8410.8,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,OhefedeSeçãodeTotoria,total,840.6,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretor de Divisão de Apoio temo,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão de Assuntos intemos,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão de Assuntos Jurídicos,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão de Expediente,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão de Financas,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão de formátca,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Diretorde Divisão deRádioe TV,total,14358.21,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,MesrodeCermônias,total,6168.66,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Mora,total,3160.55,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Ofceitegsiivo TT,total,3486.0,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Prredortogismo som,total,15250.07,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Produtor doConteido TT arms,total,876.0,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,Seretáro de Comunicação national,total,25167.99,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
2024,sorocaba,camara,VebreueioPreieno ——Tismosos,total,5570.68,PORTARIA N.º 001/2024,Câmara Sorocaba - PDF escaneado (OCR)
