ano,municipio,orgao,cargo,tipo_valor,valor,portaria,fonte
2023,sorocaba,camara,agenede Apolo Legiao!,total,208.73,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Assessor de Licitações e Contratos,total,20332.34,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,lAssessordePlenério,total,2033.22,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefe de Seção de Expedição eArquivo,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefe de Seção de Expediente Legislativo,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefe de Seção de licitações e Contratos,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefe de Seção de Materiais e Patrimônio,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefede Seção de Protocolo,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Chefe de Seção de Recursos Humanos,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Coordenador da Qualidade Gráfica,total,7950.28,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Secretrode Administração,total,23808.27,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,Secreto Legiao,total,23808.37,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
2023,sorocaba,camara,atorsubsidoPresderte,total,708.08,PORTARIA N.º 001/2023,Câmara Sorocaba - PDF escaneado (OCR)
