ano,municipio,orgao,cargo,tipo_valor,valor,portaria,fonte
2026,sorocaba,camara,Agente de apo Legiao,total,2427.38,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Agente deApooLegsamo,total,2427.88,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Amalstade Recursos Humanos,total,7605.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,omaisiadeSimemes!,total,70262.62,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Analista OrçamentárosFrencero,total,166.99,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Assessor dectações e Contas,total,24078.59,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Asessorde Plenário,total,24078.59,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Assessortegistivo 607308,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Assessoramento,total,9578.62,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,ohefede Seção de ExpecçsoS ArGUVO,total,6215.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,ohete de Seção despede Legiao,total,9415.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,oretede Seção de Protocolo,total,9415.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,ohefede Seção de Recursos Humanos,total,9415.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Chetede seção do retina,total,8415.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Coordenador ds Quaidade Gráfica,total,415.1,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,eoordenadordoCermonial,total,8151.9,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Coordenador de Engenharia de TV 1607308,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,ooordeadordeimfestutira e Conservação Predial,total,16075.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,DietordeDiskodeApoiniemo,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Dietorde Divisão de Assuntos memos,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,PDretorde Diisêode Assuntos ros,total,16078.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Dietorde Divsêode Espedento,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,PietordeDiisêodeFmanças 1607308,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,DietordeDisãodemomáica,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Pietorde Divisão deMeteraisePaimôrio,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,DietordeDwisãodeRádoeTV (1607308,total,16073.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Diretor,total,708.66,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,MesredeGermbrias,total,8166.99,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,ofckide Comunicação,total,7405.68,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Produtorde Conteúdo,total,7603.08,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,RepórerFotográfco,total,6193.46,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Secretário de Comunicação silicone,total,26196.26,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,SerároGea (2819626,total,28196.26,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,SecretroLogishivo 2819626,total,28196.26,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,SecretioJudico,total,28196.2,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Técnicoeminformátca,total,390.22,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
2026,sorocaba,camara,Natrsuio Vereador 4800000,total,48000.0,Portaria n.º 001/2026,Câmara Sorocaba - PDF escaneado (OCR)
