Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"49.317.593,86","48.166.730,66","47.664.774,60","1.150.863,20","501.956,06",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3543402
06.181 - Policiamento,"46.816.017,10","45.895.136,29","45.400.150,95","920.880,81","494.985,34",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3543402
06.182 - Defesa Civil,"2.501.576,76","2.271.594,37","2.264.623,65","229.982,39","6.970,72",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3543402
