ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2021,4302303,Bom Jesus,BOM JESUS DA PENHA - MG,202129240010,STEFANO AGUIAR,,,Emenda Individual - Transferências com Finalidade Definida,Assistência social,Assistência comunitária,"10,00","10,00","10,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,4302303,Bom Jesus,BOM JESUS DO ITABAPOANA - RJ,202142100010,CARLOS PORTINHO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"349.438,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,4302303,Bom Jesus,BOM JESUS DO ITABAPOANA - RJ,202140750006,VINICIUS FARAH,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"400.000,00","400.000,00","400.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,4302303,Bom Jesus,BOM JESUS DO ITABAPOANA - RJ,202124970017,CHICO DANGELO,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"600.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,4302303,Bom Jesus,BOM JESUS DA LAPA - BA,202124710002,SERGIO BRITO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"1.000.000,00","1.000.000,00","1.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2021,4302303,Bom Jesus,BOM JESUS DO ITABAPOANA - RJ,202130750003,CLARISSA GAROTINHO,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"1.000.000,00","1.000.000,00","1.000.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
