Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Educacao_Previsao,Minimo_Educacao_Arrecadado,Percentual_Aplicado_Liquidado
1,"836.272.686,75","258.829.372,48","75.835.235,61","23.040.378,11","818.422.951,17","282.540.229,40","1.567.539.581,65","503.293.858,68","432.632.718,38","141.102.494,99","28,04"
2,"872.870.488,26","481.935.663,37","81.361.546,75","44.544.681,26","835.847.252,95","457.757.376,35","1.627.087.996,08","883.777.309,84","447.519.821,99","246.059.430,24","27,84"
3,"911.067.805,86","710.713.708,11","86.851.876,81","67.426.498,29","862.170.541,88","655.512.945,34","1.697.098.932,67","1.289.746.955,10","465.022.556,13","358.413.287,93","27,79"
4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
