Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
ensino fundamental,"0,00","132.208.272,28","59.075.036,00","58.342.727,04",1,2024-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","214.070.804,05","72.962.541,79","72.701.645,17",1,2024-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"423.244.940,70","423.244.027,14","209.002.528,60","208.009.323,02",1,2024-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","182.115.634,94","113.769.923,51","105.223.384,30",2,2024-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","233.097.278,01","127.586.126,31","126.861.081,94",2,2024-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"551.367.630,76","551.364.692,75","377.507.829,62","368.236.246,04",2,2024-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","211.075.070,14","173.703.971,43","170.962.418,98",3,2024-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","239.951.710,10","172.682.128,05","172.580.128,05",3,2024-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"636.248.729,65","636.241.764,75","531.601.083,99","528.757.531,54",3,2024-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","292.926.534,61","286.246.454,56","278.750.990,48",4,2024-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","222.248.851,36","216.521.440,96","213.520.280,58",4,2024-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"762.800.670,04","762.785.565,08","750.378.074,63","739.881.450,17",4,2024-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
