Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
ensino fundamental,"0,00","60.667.503,33","19.624.770,41","17.655.404,02",1,2022-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","85.789.193,00","20.716.140,03","19.897.646,45",1,2022-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"211.158.137,49","211.112.342,78","104.996.556,89","102.208.696,92",1,2022-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","135.829.842,35","88.076.080,03","77.191.118,41",2,2022-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","137.232.913,82","67.501.176,89","65.076.503,31",2,2022-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"390.836.558,73","390.235.001,02","272.749.501,77","259.439.866,57",2,2022-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","159.971.066,17","119.288.230,12","115.001.477,84",3,2022-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","151.125.421,90","107.262.982,72","107.137.172,35",3,2022-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"477.002.515,95","476.157.806,94","391.612.531,71","387.199.969,06",3,2022-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","193.071.464,54","191.706.517,27","190.273.250,35",4,2022-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","148.264.428,60","146.275.151,67","146.268.114,14",4,2022-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"557.575.837,09","556.269.834,85","552.915.610,65","551.475.306,20",4,2022-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
