Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Educacao_Previsao,Minimo_Educacao_Arrecadado,Percentual_Aplicado_Liquidado,Fonte_PDF
1,"822.569.107,04","231.869.700,93","76.226.937,44","19.774.213,57","804.950.592,88","248.166.630,22","1.534.953.206,00","446.222.376,15","425.936.659,34","124.952.636,18","28,00",2020-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
2,"794.828.753,47","399.988.552,28","71.479.061,29","34.182.565,66","744.536.438,77","371.813.127,29","1.442.050.822,17","724.785.107,05","402.711.063,38","201.496.061,30","27,80",2020-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
3,"794.339.094,79","596.138.543,65","70.010.860,40","49.851.815,86","723.996.262,24","524.632.292,08","1.419.552.786,07","1.056.316.843,33","397.086.554,35","292.655.662,89","27,71",2020-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
4,"814.894.204,16","814.894.204,16","72.668.902,61","71.544.119,91","722.255.684,04","709.643.863,09","1.441.025.359,45","1.441.025.359,45","402.454.697,70","399.020.546,79","27,69",2020-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
