Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Educacao_Previsao,Minimo_Educacao_Arrecadado,Percentual_Aplicado_Liquidado,Fonte_PDF
1,"1.634.037.575,56","423.664.266,56","148.170.009,98","37.518.880,11","1.281.498.287,32","391.711.049,67","2.778.972.017,20","767.048.210,60","765.926.468,21","213.223.549,08","27,80",2025-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
2,"1.633.782.060,17","823.010.599,17","150.789.744,38","74.944.047,25","1.259.680.281,89","669.644.211,43","2.757.969.209,21","1.418.681.206,61","761.063.021,61","391.899.714,46","27,62",2025-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
3,"1.632.727.724,25","1.218.786.967,25","155.257.985,78","114.607.024,65","1.270.458.501,71","970.700.416,59","2.769.638.965,85","2.089.250.557,25","764.611.052,93","576.023.602,12","27,57",2025-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
4,"1.642.018.267,05","1.642.018.267,05","157.867.142,34","157.832.000,44","1.265.963.904,50","1.253.609.806,84","2.774.623.305,47","2.774.623.305,47","766.462.328,47","763.365.018,58","27,51",2025-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
