Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Educacao_Previsao,Minimo_Educacao_Arrecadado,Percentual_Aplicado_Liquidado,Fonte_PDF
1,"1.459.950.893,87","405.938.772,87","136.657.452,07","35.637.924,07","1.096.570.701,99","349.186.831,55","2.446.296.035,13","713.798.577,68","673.294.761,98","197.690.882,12","27,70",2024-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
2,"1.470.369.414,77","765.650.341,77","137.667.128,33","69.145.425,80","1.106.890.346,14","611.613.476,06","2.468.043.876,44","1.310.257.463,83","678.731.722,31","361.602.310,90","27,60",2024-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
3,"1.478.459.212,99","1.127.435.583,99","141.243.995,21","103.720.559,35","1.088.196.773,51","830.021.032,42","2.456.116.580,05","1.875.962.191,25","676.974.995,42","515.294.293,94","27,47",2024-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
4,"1.499.369.606,59","1.499.369.606,59","143.501.571,93","143.365.584,74","1.121.512.840,34","1.108.035.296,84","2.503.160.309,06","2.503.160.309,06","691.096.004,71","687.692.622,04","27,47",2024-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
