Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre
ensino fundamental,"0,00","86.839.053,00","31.634.609,80","30.850.909,81",1
educacao infantil,"0,00","137.371.076,25","35.273.543,81","34.383.508,28",1
DESPESAS LIQUIDAS DA EDUCACAO,"293.685.118,64","293.544.285,39","136.242.309,75","134.568.574,23",1
ensino fundamental,"0,00","125.680.289,81","85.050.267,04","78.300.705,58",2
educacao infantil,"0,00","165.429.220,82","89.772.342,71","85.238.937,73",2
DESPESAS LIQUIDAS DA EDUCACAO,"412.717.910,78","411.867.512,97","295.580.612,09","284.297.645,65",2
ensino fundamental,"0,00","170.497.069,63","153.113.970,85","140.622.208,57",3
educacao infantil,"0,00","184.605.539,15","143.339.680,57","131.480.391,06",3
DESPESAS LIQUIDAS DA EDUCACAO,"0,00","521.046.885,16","462.397.927,80","438.046.876,01",3
ensino fundamental,"0,00","243.403.323,01","240.131.671,11","229.102.380,13",4
educacao infantil,"0,00","183.931.987,00","182.697.918,76","176.318.455,45",4
DESPESAS LIQUIDAS DA EDUCACAO,"642.328.126,26","641.340.684,74","636.834.964,60","619.426.210,31",4
