Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
ensino fundamental,"0,00","103.528.103,81","26.834.277,53","24.360.552,94",1,2020-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","105.476.136,79","34.305.651,42","30.778.404,20",1,2020-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"262.599.540,80","262.592.409,17","114.728.097,52","108.727.125,71",1,2020-1-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","116.875.444,57","49.635.359,20","44.657.416,12",2,2020-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","115.455.082,06","56.747.465,82","52.773.213,37",2,2020-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"313.636.961,24","313.529.664,81","187.581.963,20","178.629.767,67",2,2020-2-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","137.539.662,86","79.621.603,64","74.764.635,76",3,2020-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","120.682.274,44","82.432.992,26","76.842.872,68",3,2020-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"372.751.055,24","372.527.745,56","276.360.404,16","265.913.316,70",3,2020-3-trimestre-relatorios-de-aplicacao-no-ensino.pdf
ensino fundamental,"0,00","121.113.620,00","119.607.827,07","116.961.706,78",4,2020-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
educacao infantil,"0,00","133.804.413,21","131.756.387,83","129.344.746,95",4,2020-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
DESPESAS LIQUIDAS DA EDUCACAO,"410.316.503,83","409.974.860,92","406.421.042,61","401.363.281,44",4,2020-4-trimestre-relatorios-de-aplicacao-no-ensino.pdf
