municipio,tipo,titulo,caminho,arquivo_url_raw,download_url
paulinia,ldo,APRESENTAÇÃO LDO 2024,PPA 2022-2025 > 2024 > LDO > APRESENTAÇÃO LDO 2024,PMPAULINIA%2Faudiencias_publicas%2F12d919b1-da20-4d8c-982d-3ecaef0ad9c6_APRESENTACAO_LDO_2024.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F12d919b1-da20-4d8c-982d-3ecaef0ad9c6_APRESENTACAO_LDO_2024.pdf
paulinia,ldo,ATA AUDIÊNCIA PLDO 2024.,PPA 2022-2025 > 2024 > LDO > ATA AUDIÊNCIA PLDO 2024.,PMPAULINIA%2Faudiencias_publicas%2Fab656463-dae5-4d6b-9945-9e41e3181929_ATA_AUDIENCIA_PLDO_2024..pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fab656463-dae5-4d6b-9945-9e41e3181929_ATA_AUDIENCIA_PLDO_2024..pdf
paulinia,ldo,LEI 4.316 DE 11 DE JULHO DE 2023,PPA 2022-2025 > 2024 > LDO > LEI 4.316 DE 11 DE JULHO DE 2023,PMPAULINIA%2Faudiencias_publicas%2F7c5732b6-2e44-4399-b6e2-4d25800a730c_LEI_4.316_DE_11_DE_JULHO_DE_2023.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F7c5732b6-2e44-4399-b6e2-4d25800a730c_LEI_4.316_DE_11_DE_JULHO_DE_2023.pdf
paulinia,loa,Apresentação LOA 2024 - Consulta Pública,PPA 2022-2025 > 2024 > LOA > Apresentação LOA 2024 - Consulta Pública,PMPAULINIA%2Faudiencias_publicas%2F25f4619b-004f-4e78-bb2d-cd8ca6ba8ab0_Apresentacao_LOA_2024_-_Consulta_Publica.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F25f4619b-004f-4e78-bb2d-cd8ca6ba8ab0_Apresentacao_LOA_2024_-_Consulta_Publica.pdf
paulinia,loa,Ata Audiência PLOA 2024 - 25-09-2023 -18h,PPA 2022-2025 > 2024 > LOA > Ata Audiência PLOA 2024 - 25-09-2023 -18h,PMPAULINIA%2Faudiencias_publicas%2Fe23c14e6-3a97-4f96-b1b0-0a1824e682d7_Ata_Audiencia_PLOA_2024_-_25-09-2023_-18h.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fe23c14e6-3a97-4f96-b1b0-0a1824e682d7_Ata_Audiencia_PLOA_2024_-_25-09-2023_-18h.pdf
paulinia,loa,"LEI Nº 4.402, DE 26 DE DEZEMBRO DE 2023","PPA 2022-2025 > 2024 > LOA > LEI Nº 4.402, DE 26 DE DEZEMBRO DE 2023",PMPAULINIA%2Faudiencias_publicas%2Fbf6cec9e-d432-4728-bde4-d74e3f07686e_LEI_N%C2%BA_4.402%2C_DE_26_DE_DEZEMBRO_DE_2023.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fbf6cec9e-d432-4728-bde4-d74e3f07686e_LEI_N%C2%BA_4.402%2C_DE_26_DE_DEZEMBRO_DE_2023.pdf
paulinia,loa,Relatório de Avaliação 2024,PPA 2022-2025 > 2024 > LOA > Relatório de Avaliação 2024,PMPAULINIA%2Faudiencias_publicas%2Fcbe3174d-46b2-40ec-b738-3ec56261e885_Relatorio_de_Avaliacao_2024.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fcbe3174d-46b2-40ec-b738-3ec56261e885_Relatorio_de_Avaliacao_2024.pdf
paulinia,ldo,Apresentação Audiência Púlbica,PPA 2022-2025 > 2025 > LDO > Apresentação Audiência Púlbica,PMPAULINIA%2Faudiencias_publicas%2F979554fb-07b4-4df3-bd98-89a0668c235c_Apresentacao_Audiencia_Pulbica.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F979554fb-07b4-4df3-bd98-89a0668c235c_Apresentacao_Audiencia_Pulbica.pdf
paulinia,ldo,ATA AUDIÊNCIA PLDO 2025 - 09-04-2024 -18h,PPA 2022-2025 > 2025 > LDO > ATA AUDIÊNCIA PLDO 2025 - 09-04-2024 -18h,PMPAULINIA%2Faudiencias_publicas%2F0f5e98ad-9160-4b3a-8bea-60ee0d95f6a5_ATA_AUDIENCIA_PLDO_2025_-_09-04-2024_-18h.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F0f5e98ad-9160-4b3a-8bea-60ee0d95f6a5_ATA_AUDIENCIA_PLDO_2025_-_09-04-2024_-18h.pdf
paulinia,ldo,"LEI Nº 4.482, DE 11 DE JULHO DE 2024","PPA 2022-2025 > 2025 > LDO > LEI Nº 4.482, DE 11 DE JULHO DE 2024",PMPAULINIA%2Faudiencias_publicas%2F54e1650e-353b-4556-a084-b9fb3211f256_LEI_N%C2%BA_4.482%2C_DE_11_DE_JULHO_DE_2024.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F54e1650e-353b-4556-a084-b9fb3211f256_LEI_N%C2%BA_4.482%2C_DE_11_DE_JULHO_DE_2024.pdf
