Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"5.021.758,10","4.205.517,49","4.041.906,97","816.240,61","163.610,52",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3549805
06.181 - Policiamento,"3.098.321,13","2.524.494,31","2.460.455,08","573.826,82","64.039,23",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3549805
06.182 - Defesa Civil,"1.923.436,97","1.681.023,18","1.581.451,89","242.413,79","99.571,29",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3549805
