Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"2.521.401,41","2.143.464,61","1.985.102,66","377.936,80","158.361,95",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3549805
06.181 - Policiamento,"679.638,82","541.843,18","481.268,01","137.795,64","60.575,17",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3549805
06.182 - Defesa Civil,"1.841.762,59","1.601.621,43","1.503.834,65","240.141,16","97.786,78",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3549805
