municipio,ano,status,movimentos_extraidos,recebedores_agregados,credito_diff,debito_diff,arquivo_validado,script,observacao
Sorocaba,2020,validado_localmente,59340,3094,0.00,0.00,data/validated/sorocaba/execucao/saida/fornecedores_agregado_sorocaba_2020.csv,pipelines/agregar_fornecedores_execucao.py --ano 2020,"Soma agregada bate com CSV extraido; classificacao_inicial requer curadoria antes de publicacao"
Sorocaba,2021,validado_localmente,69089,4216,0.00,0.00,data/validated/sorocaba/execucao/saida/fornecedores_agregado_sorocaba_2021.csv,pipelines/agregar_fornecedores_execucao.py --ano 2021,"Agregado em 2026-05-16; classificacao_inicial automatica via regras de nome; publicado em data/public"
Sorocaba,2022,validado_localmente,76599,4337,0.00,0.00,data/validated/sorocaba/execucao/saida/fornecedores_agregado_sorocaba_2022.csv,pipelines/agregar_fornecedores_execucao.py --ano 2022,"Extraido de PDF 1.4GB via extrator_conta_corrente_fornecedor.py v2022; publicado em data/public em 2026-05-16"
Sorocaba,2023,validado_localmente,83252,4782,0.00,0.00,data/validated/sorocaba/execucao/saida/fornecedores_agregado_sorocaba_2023.csv,pipelines/agregar_fornecedores_execucao.py --ano 2023,"Extraido de PDF 1.5GB via extrator_conta_corrente_fornecedor.py v2022; publicado em data/public em 2026-05-16"
Sorocaba,2024,validado_localmente,82253,5060,0.00,0.00,data/validated/sorocaba/execucao/saida/fornecedores_agregado_sorocaba_2024.csv,pipelines/agregar_fornecedores_execucao.py --ano 2024,"Soma agregada bate com CSV extraido; classificacao_inicial requer curadoria antes de publicacao"
