ibge,uf,regiao,nome,key
3100807,MG,SE,Aguanil,aguanil
2600500,PE,NE,Águas Belas,aguas_belas
3500402,SP,SE,Águas da Prata,aguas_da_prata
4200507,SC,S,Águas de Chapecó,aguas_de_chapeco
3500501,SP,SE,Águas de Lindóia,aguas_de_lindoia
3500550,SP,SE,Águas de Santa Bárbara,aguas_de_santa_barbara
3500600,SP,SE,Águas de São Pedro,aguas_de_sao_pedro
3100906,MG,SE,Águas Formosas,aguas_formosas
4200556,SC,S,Águas Frias,aguas_frias
5200258,GO,CO,Águas Lindas de Goiás,aguas_lindas_de_goias
4200606,SC,S,Águas Mornas,aguas_mornas
3101003,MG,SE,Águas Vermelhas,aguas_vermelhas
4300109,RS,S,Agudo,agudo
3500709,SP,SE,Agudos,agudos
4100301,PR,S,Agudos do Sul,agudos_do_sul
3200136,ES,SE,Águia Branca,aguia_branca
2500205,PB,NE,Aguiar,aguiar
1700301,TO,N,Aguiarnópolis,aguiarnopolis
3101102,MG,SE,Aimorés,aimores
2900603,BA,NE,Aiquara,aiquara
2300408,CE,NE,Aiuaba,aiuaba
3101201,MG,SE,Aiuruoca,aiuruoca
4300208,RS,S,Ajuricaba,ajuricaba
3101300,MG,SE,Alagoa,alagoa
2500304,PB,NE,Alagoa Grande,alagoa_grande
2500403,PB,NE,Alagoa Nova,alagoa_nova
2500502,PB,NE,Alagoinha,alagoinha
2600609,PE,NE,Alagoinha,alagoinha
2200251,PI,NE,Alagoinha do Piauí,alagoinha_do_piaui
2900702,BA,NE,Alagoinhas,alagoinhas
3500758,SP,SE,Alambari,alambari
3101409,MG,SE,Albertina,albertina
2100204,MA,NE,Alcântara,alcantara
2300507,CE,NE,Alcântaras,alcantaras
2500536,PB,NE,Alcantil,alcantil
5000252,MS,CO,Alcinópolis,alcinopolis
2900801,BA,NE,Alcobaça,alcobaca
2100303,MA,NE,Aldeias Altas,aldeias_altas
4300307,RS,S,Alecrim,alecrim
3200201,ES,SE,Alegre,alegre
4300406,RS,S,Alegrete,alegrete
2200277,PI,NE,Alegrete do Piauí,alegrete_do_piaui
4300455,RS,S,Alegria,alegria
3101508,MG,SE,Além Paraíba,alem_paraiba
1500404,PA,N,Alenquer,alenquer
2400505,RN,NE,Alexandria,alexandria
5200308,GO,CO,Alexânia,alexania
3101607,MG,SE,Alfenas,alfenas
3200300,ES,SE,Alfredo Chaves,alfredo_chaves
3500808,SP,SE,Alfredo Marcondes,alfredo_marcondes
3101631,MG,SE,Alfredo Vasconcelos,alfredo_vasconcelos
4200705,SC,S,Alfredo Wagner,alfredo_wagner
2500577,PB,NE,Algodão de Jandaíra,algodao_de_jandaira
2500601,PB,NE,Alhandra,alhandra
2600708,PE,NE,Aliança,alianca
1700350,TO,N,Aliança do Tocantins,alianca_do_tocantins
2900900,BA,NE,Almadina,almadina
1700400,TO,N,Almas,almas
1500503,PA,N,Almeirim,almeirim
3101706,MG,SE,Almenara,almenara
2400604,RN,NE,Almino Afonso,almino_afonso
4100400,PR,S,Almirante Tamandaré,almirante_tamandare
4300471,RS,S,Almirante Tamandaré do Sul,almirante_tamandare_do_sul
5200506,GO,CO,Aloândia,aloandia
3101805,MG,SE,Alpercata,alpercata
4300505,RS,S,Alpestre,alpestre
3101904,MG,SE,Alpinópolis,alpinopolis
5100250,MT,CO,Alta Floresta,alta_floresta
1100015,RO,N,Alta Floresta D'Oeste,alta_floresta_doeste
3500907,SP,SE,Altair,altair
1500602,PA,N,Altamira,altamira
2100402,MA,NE,Altamira do Maranhão,altamira_do_maranhao
4100459,PR,S,Altamira do Paraná,altamira_do_parana
2300606,CE,NE,Altaneira,altaneira
3102001,MG,SE,Alterosa,alterosa
2600807,PE,NE,Altinho,altinho
3501004,SP,SE,Altinópolis,altinopolis
3501103,SP,SE,Alto Alegre,alto_alegre
4300554,RS,S,Alto Alegre,alto_alegre
1400050,RR,N,Alto Alegre,alto_alegre
2100436,MA,NE,Alto Alegre do Maranhão,alto_alegre_do_maranhao
2100477,MA,NE,Alto Alegre do Pindaré,alto_alegre_do_pindare
1100379,RO,N,Alto Alegre dos Parecis,alto_alegre_dos_parecis
5100300,MT,CO,Alto Araguaia,alto_araguaia
4200754,SC,S,Alto Bela Vista,alto_bela_vista
5100359,MT,CO,Alto Boa Vista,alto_boa_vista
3102050,MG,SE,Alto Caparaó,alto_caparao
2400703,RN,NE,Alto do Rodrigues,alto_do_rodrigues
4300570,RS,S,Alto Feliz,alto_feliz
5100409,MT,CO,Alto Garças,alto_garcas
5200555,GO,CO,Alto Horizonte,alto_horizonte
3153509,MG,SE,Alto Jequitibá,alto_jequitiba
2200301,PI,NE,Alto Longá,alto_longa
5100508,MT,CO,Alto Paraguai,alto_paraguai
4128625,PR,S,Alto Paraíso,alto_paraiso
1100403,RO,N,Alto Paraíso,alto_paraiso
5200605,GO,CO,Alto Paraíso de Goiás,alto_paraiso_de_goias
4100608,PR,S,Alto Paraná,alto_parana
2100501,MA,NE,Alto Parnaíba,alto_parnaiba
4100707,PR,S,Alto Piquiri,alto_piquiri
3102100,MG,SE,Alto Rio Doce,alto_rio_doce
3200359,ES,SE,Alto Rio Novo,alto_rio_novo
2300705,CE,NE,Alto Santo,alto_santo
5100607,MT,CO,Alto Taquari,alto_taquari
4100509,PR,S,Altônia,altonia
2200400,PI,NE,Altos,altos
3501152,SP,SE,Alumínio,aluminio
1300029,AM,N,Alvarães,alvaraes
3102209,MG,SE,Alvarenga,alvarenga
3501202,SP,SE,Álvares Florence,alvares_florence
3501301,SP,SE,Álvares Machado,alvares_machado
3501400,SP,SE,Álvaro de Carvalho,alvaro_de_carvalho
3501509,SP,SE,Alvinlândia,alvinlandia
3102308,MG,SE,Alvinópolis,alvinopolis
1700707,TO,N,Alvorada,alvorada
4300604,RS,S,Alvorada,alvorada
3102407,MG,SE,Alvorada de Minas,alvorada_de_minas
2200459,PI,NE,Alvorada do Gurguéia,alvorada_do_gurgueia
5200803,GO,CO,Alvorada do Norte,alvorada_do_norte
4100806,PR,S,Alvorada do Sul,alvorada_do_sul
1100346,RO,N,Alvorada D'Oeste,alvorada_doeste
1400027,RR,N,Amajari,amajari
5000609,MS,CO,Amambai,amambai
1600105,AP,N,Amapá,amapa
2100550,MA,NE,Amapá do Maranhão,amapa_do_maranhao
4100905,PR,S,Amaporã,amapora
2600906,PE,NE,Amaraji,amaraji
4300638,RS,S,Amaral Ferrador,amaral_ferrador
5200829,GO,CO,Amaralina,amaralina
2200509,PI,NE,Amarante,amarante
2100600,MA,NE,Amarante do Maranhão,amarante_do_maranhao
2901007,BA,NE,Amargosa,amargosa
1300060,AM,N,Amaturá,amatura
2901106,BA,NE,Amélia Rodrigues,amelia_rodrigues
2901155,BA,NE,América Dourada,america_dourada
3501608,SP,SE,Americana,americana
5200852,GO,CO,Americano do Brasil,americano_do_brasil
3501707,SP,SE,Américo Brasiliense,americo_brasiliense
3501806,SP,SE,Américo de Campos,americo_de_campos
4300646,RS,S,Ametista do Sul,ametista_do_sul
2300754,CE,NE,Amontada,amontada
5200902,GO,CO,Amorinópolis,amorinopolis
3501905,SP,SE,Amparo,amparo
2500734,PB,NE,Amparo,amparo
2800100,SE,NE,Amparo do São Francisco,amparo_do_sao_francisco
3102506,MG,SE,Amparo do Serra,amparo_do_serra
4101002,PR,S,Ampére,ampere
2700201,AL,NE,Anadia,anadia
2901205,BA,NE,Anagé,anage
4101051,PR,S,Anahy,anahy
1500701,PA,N,Anajás,anajas
2100709,MA,NE,Anajatuba,anajatuba
3502002,SP,SE,Analândia,analandia
1300086,AM,N,Anamã,anama
1701002,TO,N,Ananás,ananas
1500800,PA,N,Ananindeua,ananindeua
5201108,GO,CO,Anápolis,anapolis
1500859,PA,N,Anapu,anapu
2100808,MA,NE,Anapurus,anapurus
5000708,MS,CO,Anastácio,anastacio
5000807,MS,CO,Anaurilândia,anaurilandia
4200804,SC,S,Anchieta,anchieta
3200409,ES,SE,Anchieta,anchieta
2901304,BA,NE,Andaraí,andarai
4101101,PR,S,Andirá,andira
2901353,BA,NE,Andorinha,andorinha
3102605,MG,SE,Andradas,andradas
3502101,SP,SE,Andradina,andradina
4300661,RS,S,André da Rocha,andre_da_rocha
3102803,MG,SE,Andrelândia,andrelandia
3502200,SP,SE,Angatuba,angatuba
3102852,MG,SE,Angelândia,angelandia
5000856,MS,CO,Angélica,angelica
2601003,PE,NE,Angelim,angelim
4200903,SC,S,Angelina,angelina
2901403,BA,NE,Angical,angical
2200608,PI,NE,Angical do Piauí,angical_do_piaui
1701051,TO,N,Angico,angico
2400802,RN,NE,Angicos,angicos
3300100,RJ,SE,Angra dos Reis,angra_dos_reis
2901502,BA,NE,Anguera,anguera
4101150,PR,S,Ângulo,angulo
5201207,GO,CO,Anhanguera,anhanguera
3502309,SP,SE,Anhembi,anhembi
3502408,SP,SE,Anhumas,anhumas
5201306,GO,CO,Anicuns,anicuns
2200707,PI,NE,Anísio de Abreu,anisio_de_abreu
4201000,SC,S,Anita Garibaldi,anita_garibaldi
4201109,SC,S,Anitápolis,anitapolis
1300102,AM,N,Anori,anori
4300703,RS,S,Anta Gorda,anta_gorda
2901601,BA,NE,Antas,antas
4101200,PR,S,Antonina,antonina
2300804,CE,NE,Antonina do Norte,antonina_do_norte
2200806,PI,NE,Antônio Almeida,antonio_almeida
2901700,BA,NE,Antônio Cardoso,antonio_cardoso
3102902,MG,SE,Antônio Carlos,antonio_carlos
4201208,SC,S,Antônio Carlos,antonio_carlos
3103009,MG,SE,Antônio Dias,antonio_dias
2901809,BA,NE,Antônio Gonçalves,antonio_goncalves
5000906,MS,CO,Antônio João,antonio_joao
2400901,RN,NE,Antônio Martins,antonio_martins
4101309,PR,S,Antônio Olinto,antonio_olinto
4300802,RS,S,Antônio Prado,antonio_prado
3103108,MG,SE,Antônio Prado de Minas,antonio_prado_de_minas
2500775,PB,NE,Aparecida,aparecida
3502507,SP,SE,Aparecida,aparecida
5201405,GO,CO,Aparecida de Goiânia,aparecida_de_goiania
5201454,GO,CO,Aparecida do Rio Doce,aparecida_do_rio_doce
1701101,TO,N,Aparecida do Rio Negro,aparecida_do_rio_negro
5001003,MS,CO,Aparecida do Taboado,aparecida_do_taboado
3502606,SP,SE,Aparecida d'Oeste,aparecida_doeste
3300159,RJ,SE,Aperibé,aperibe
3200508,ES,SE,Apiacá,apiaca
5100805,MT,CO,Apiacás,apiacas
