Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre
administracao geral,"81.997.553,81","49.937.954,37","18.313.313,30","14.164.779,97",1
atencao basica,"247.297.105,37","216.402.631,27","87.899.419,62","79.302.452,99",1
assistencia hospitalar e ambulatorial,"432.933.595,14","400.916.713,96","168.854.955,88","155.606.503,55",1
suporte profilatico e terapeutico,"7.718.056,00","3.072.494,43","1.635.040,27","1.378.271,27",1
vigilancia sanitaria,"4.073.337,00","3.928.448,36","953.359,71","858.169,64",1
vigilancia epidemiologica,"23.850.877,69","22.230.712,11","8.673.647,25","8.144.719,54",1
alimentacao e nutricao,"1.000,00","0,00","0,00","0,00",1
DESPESAS LIQUIDAS DA SAUDE,"797.871.525,01","696.488.954,50","286.329.736,03","259.454.896,96",1
administracao geral,"74.503.865,85","45.378.311,08","35.703.202,20","27.509.777,99",2
atencao basica,"235.324.087,48","225.515.014,83","169.493.533,00","156.322.775,41",2
assistencia hospitalar e ambulatorial,"461.678.660,46","432.580.877,59","295.714.575,26","288.443.513,22",2
suporte profilatico e terapeutico,"5.085.955,58","4.531.810,42","3.479.548,98","3.333.937,48",2
vigilancia sanitaria,"4.073.337,00","3.778.465,87","1.868.870,49","1.733.089,30",2
vigilancia epidemiologica,"23.882.552,69","22.449.436,50","17.585.785,97","16.760.447,18",2
alimentacao e nutricao,"1.000,00","0,00","0,00","0,00",2
DESPESAS LIQUIDAS DA SAUDE,"804.549.459,06","734.233.916,29","523.845.515,90","494.103.540,58",2
administracao geral,"44.847.291,99","43.561.442,58","43.134.116,47","42.649.387,58",3
atencao basica,"251.624.504,66","249.879.287,81","248.669.467,28","243.103.029,86",3
assistencia hospitalar e ambulatorial,"448.903.404,04","430.897.924,96","405.394.608,68","403.258.121,39",3
suporte profilatico e terapeutico,"8.243.154,42","8.027.832,16","5.702.443,20","5.702.443,20",3
vigilancia sanitaria,"2.816.237,04","2.787.926,12","2.787.926,12","2.693.028,57",3
vigilancia epidemiologica,"27.164.341,55","25.051.367,25","25.042.301,16","24.419.167,65",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00",3
DESPESAS LIQUIDAS DA SAUDE,"783.598.933,70","760.205.780,88","730.730.862,91","721.825.178,25",3
