Funcao,ASPS_Empenhada,ASPS_Liquidada,ASPS_Paga,SUS_Empenhada,SUS_Liquidada,SUS_Paga,Total_Empenhada,Total_Liquidada,Total_Paga,Quadrimestre
atencao basica,"324708775,61","126302307,04","116472948,03","27328184,98","10066512,64","9317681,44","352036960,59","136368819,68","125790629,47",1
assistencia hospitalar e ambulatorial,"3336082235,09","3172759732,71","538957080,01","111263665,58","43067696,23","40400863,01","3447345900,67","3215827428,94","579357943,02",1
suporte profilatico e terapeutico,"0,00","0,00","0,00","2168220,24","374918,31","370123,11","2168220,24","374918,31","370123,11",1
vigilancia sanitaria,"3336082235,09","3172759732,71","538957080,01","0,00","0,00","0,00","3336082235,09","3172759732,71","538957080,01",1
vigilancia epidemiologica,"0,00","0,00","0,00","4932192,53","3057357,15","2845568,61","4932192,53","3057357,15","2845568,61",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
outras subfuncoes,"3120547901,07","3246793103,68","141121611,46","0,00","0,00","0,00","3120547901,07","3246793103,68","141121611,46",1
TOTAL,"395889577,16","163605233,73","152920336,61","145692263,33","56566484,33","52934236,17","541581840,49","220171718,06","205854572,78",1
atencao basica,"315614981,68","223224087,00","211441363,11","38223919,12","22976853,65","22803282,84","353838900,80","246200940,65","234244645,95",2
assistencia hospitalar e ambulatorial,"113214298,62","74811777,64","74700908,67","160065159,33","101066091,28","100933437,00","273279457,95","175877868,92","175634345,67",2
suporte profilatico e terapeutico,"0,00","0,00","0,00","4234313,23","1249240,29","1249240,29","4234313,23","1249240,29","1249240,29",2
vigilancia sanitaria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
vigilancia epidemiologica,"0,00","0,00","0,00","5648770,11","4560803,88","4196777,18","5648770,11","4560803,88","4196777,18",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
outras subfuncoes,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
TOTAL,"428829280,30","298035864,64","286142271,78","208172161,79","129852989,10","129182737,31","637001442,09","427888853,74","415325009,09",2
atencao basica,"308352768,01","304115261,98","302416797,99","48117087,86","37732771,13","37698146,64","356469855,87","341848033,11","340114944,63",3
assistencia hospitalar e ambulatorial,"133759983,09","125915955,50","125915955,50","184170405,37","175416235,38","175412730,20","317930388,46","301332190,88","301328685,70",3
suporte profilatico e terapeutico,"0,00","0,00","0,00","4256425,32","2058855,59","2058855,59","4256425,32","2058855,59","2058855,59",3
vigilancia sanitaria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
vigilancia epidemiologica,"0,00","0,00","0,00","8228659,73","7629751,43","7498208,14","8228659,73","7629751,43","7498208,14",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
outras subfuncoes,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
TOTAL,"442112751,10","430031217,48","428332753,49","244772578,28","222837613,53","222667940,57","686885329,38","652868831,01","651000694,06",3
