Funcao,ASPS_Empenhada,ASPS_Liquidada,ASPS_Paga,SUS_Empenhada,SUS_Liquidada,SUS_Paga,Total_Empenhada,Total_Liquidada,Total_Paga,Quadrimestre
atencao basica,"216402631,27","87899419,62","79302452,99","20852988,84","5685312,46","5373176,90","237255620,11","93584732,08","84675629,89",1
assistencia hospitalar e ambulatorial,"400916713,96","168854955,88","155606503,55","216060966,81","84729770,97","74466393,94","616977680,77","253584726,85","230072897,49",1
suporte profilatico e terapeutico,"3072494,43","1635040,27","1378271,27","4623715,93","1111744,13","868330,63","7696210,36","2746784,40","2246601,90",1
vigilancia sanitaria,"3928448,36","953359,71","858169,64","367,55","328,39","328,39","3928815,91","953688,10","858498,03",1
vigilancia epidemiologica,"22230712,11","8673647,25","8144719,54","6712869,97","2260713,95","2139244,54","28943582,08","10934361,20","10283964,08",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
outras subfuncoes,"49937954,37","18313313,30","14164779,97","480119,57","480119,57","480119,57","50418073,94","18793432,87","14644899,54",1
TOTAL,"696488954,50","286329736,03","259454896,96","248731028,67","94267989,47","83327593,97","945219983,17","380597725,50","342782490,93",1
atencao basica,"225515014,83","169493533,00","156322775,41","40349457,51","22394622,14","22323196,31","265864472,34","191888155,14","178645971,72",2
assistencia hospitalar e ambulatorial,"432580877,59","295714575,26","288443513,22","285650241,01","162286693,83","154317106,85","718231118,60","458001269,09","442760620,07",2
suporte profilatico e terapeutico,"4531810,42","3479548,98","3333937,48","6009686,08","4143090,93","4143090,93","10541496,50","7622639,91","7477028,41",2
vigilancia sanitaria,"3778465,87","1868870,49","1733089,30","1476,71","1258,28","1258,28","3779942,58","1870128,77","1734347,58",2
vigilancia epidemiologica,"22449436,50","17585785,97","16760447,18","8756819,01","5415244,48","5415244,48","31206255,51","23001030,45","22175691,66",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
outras subfuncoes,"45378311,08","35703202,20","27509777,99","480119,57","480119,57","480119,57","45858430,65","36183321,77","27989897,56",2
TOTAL,"734233916,29","523845515,90","494103540,58","341247799,89","194721029,23","186680016,42","1075481716,18","718566545,13","680783557,00",2
atencao basica,"249879287,81","248669467,28","243103029,86","50786808,56","43641672,11","43617672,11","300666096,37","292311139,39","286720701,97",3
assistencia hospitalar e ambulatorial,"430897924,96","405394608,68","403258121,39","281672080,05","256269617,44","255542840,06","712570005,01","661664226,12","658800961,45",3
suporte profilatico e terapeutico,"8027832,16","5702443,20","5702443,20","7767425,88","6747193,40","6747193,40","15795258,04","12449636,60","12449636,60",3
vigilancia sanitaria,"2787926,12","2787926,12","2693028,57","1713,80","1437,55","1437,55","2789639,92","2789363,67","2694466,12",3
vigilancia epidemiologica,"25051367,25","25042301,16","24419167,65","11645920,93","10362256,62","10362256,62","36697288,18","35404557,78","34781424,27",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
outras subfuncoes,"43561442,58","43134116,47","42649387,58","524181,57","524181,57","524181,57","44085624,15","43658298,04","43173569,15",3
TOTAL,"760205780,88","730730862,91","721825178,25","352398130,79","317546358,69","316795581,31","1112603911,67","1048277221,60","1038620759,56",3
